nom,texte,processed_text,word_count,topic_keybert,topic_probability_keybert
SEA Foundation,"The main objective of SEA Foundation is to connect with society and to anchor Art & Culture in a natural way. SEA Foundation is an independent not-for-profit organization. Our strength is to develop, guide and realise an entire trajectory with a permanent result, with which we choose for long term cooperation and working in togetherness. The combination of knowledge, abilities and experience translates itself in services such as: in Artists Practice - Coaching - Empowerment - Fundraising - Project management - Enterpreneurial skills Visual arts are central in all our activities. We awaken your imagination with our creative approach, vision and plans. Our work is more than just developing new ideas, drafting plans or organising events. We supply concrete and practical advice on how to elaborate ideas and realise projects. We guide and support you in the whole process of bringing projects to a successful realisation. Communicative, open and direct, we are trying to get through to people, to activate them with our enthusiasm and to show new perspectives from a different angle. Like this we accomplish a mind shift, create strong connections and initiate new forms for cooperation and growth. We make undiscovered abilities available and open creative potential with the power of the three D’s: Dream, Dare and Do! And doing this we not only think but also share. In this way, old insights are replaced with new ones. We initiate change and forge new connections. SEA Foundation is located in the heart of the “Veemarkt Kwartier” VMK, the area that plays a vital role in shaping new creative activity in Tilburg.SEA Foundation has its own exhibition space: Project Space Tilburg Gust van Dijk. SEA Foundation (SEA) is a private, non-profit, artist-run initiative that initiates and coordinates events, residencies and exhibitions. SEA provides on-going space for production, presentation and research.In all their activities the organization is fueled by visual arts. Transgressing the boundaries between cultures and disciplines, SEA Foundation always puts context and the idea before the medium. By working in different cultural contexts worldwide, the foundation generates discussion by exposing and intervening within, as well as being part of, cultural processesthat concentrate on current (emerging) social, political and ecological issues. SEA supports these processes in becoming more productive, visible and solid.",main objective ART_ORG connect society anchor art culture natural way ART_ORG independent profit organization strength develop guide realise entire trajectory permanent result choose long term cooperation working togetherness combination knowledge abilities experience translates services artists practice coaching empowerment fundraising project management enterpreneurial skills visual arts central activities awaken imagination creative approach vision plans work just developing ideas drafting plans organising events supply concrete practical advice elaborate ideas realise projects guide support process bringing projects successful realisation communicative direct trying people activate enthusiasm perspectives different angle like accomplish mind shift create strong connections initiate forms cooperation growth make undiscovered abilities available creative potential power dream dare doing think share way insights replaced ones initiate change forge connections ART_ORG heart veemarkt kwartier vmk area plays vital role shaping creative activity tilburg ART_ORG exhibition space project space tilburg gust van dijk ART_ORG sea private non profit artist initiative initiates coordinates events residencies exhibitions sea provides going space production presentation research activities organization fueled visual arts transgressing boundaries cultures disciplines ART_ORG puts context idea medium working different cultural contexts worldwide foundation generates discussion exposing intervening cultural processesthat concentrate current emerging social political ecological issues sea supports processes productive visible solid,196,0,0.08288626430131744
Le Pays où le ciel est toujours bleu,"The country where the sky is always blue, the PoCTB is a collection of artists, a label of creation and diffusion in the area of contemporary art. The label offers a programming in Orléans and outside the walls.The exhibition space located at the 5th Street of the Grands-Champs in Orléans is made up of a gallery of 100 m2 reserved for solo or collective exhibitions and a project space of 20m2.The monographs present artists and artists whose POCB has chosen to distribute and support the work on a longer term basis.The collections are given to independent Commissioners: structures working in the fields of visual arts or aquariums.",country sky blue ART_ORG collection artists label creation diffusion area contemporary art label programming CITY outside walls exhibition space 5th street grands champs CITY gallery reserved solo collective exhibitions project space 20m2 monographs present artists artists pocb chosen distribute support work longer term basis collections given independent commissioners structures working fields visual arts aquariums,54,-1,0.01308645657291443
PRÉFACE,"Art contemporain / Contemporary Art 1 In literature, the front is – with the peripheral elements of the work – an introduction and precision tool. Edited by a third, it provides an additional look, indicates guidance and provides details in order to enable the reader to create his own area of questions. 2 The front is both considered as an area of association for artists and the public and as a factory of interest ready to be raised and discussed through, and throughout, exhibition experiences. 3 Each exhibition is designed as an invitation to form and produce new items in an artistic work. Direction / Director : Gabrielle Besk, Naïs Calmettes, Rémi Dupeyrat Librairie / Bookstore : Théophile’s Papers Graphisme et identitée / Design and identity : VLF",art contemporain contemporary art literature peripheral elements work introduction precision tool edited provides additional look indicates guidance provides details order enable reader create area questions considered area association artists public factory ready raised discussed exhibition experiences exhibition designed invitation form produce items artistic work direction director gabrielle besk naïs calmettes rémi dupeyrat librairie bookstore théophile papers graphisme identitée design identity vlf,61,0,0.04010216891381354
Museo de Arte Abstracto Español,"The museum opened its doors in 1966, was the first contemporary art museum in Spain and was directed by Fernando Zobel with the help of Gustavo Turner and Gerardo Rueda, all abstract painters. The museum was also the first and best library of contemporary art during these years of the French dictatorship, so Cuenca (a small town of central Spain) became a small community of artists. The museum is located in the Colgados, a very unique medieval building that forms part of the ancient city of Cuenca. In 1980, Fernando Zobel gave to the Juan March Foundation its collection of paintings, sculptures, drawings and works with its tributary with its tributaries.",museum opened doors 1966 contemporary art museum CITY directed fernando zobel help gustavo turner gerardo rueda abstract painters museum best library contemporary art years french dictatorship cuenca town central CITY community artists museum colgados unique medieval building forms ancient city cuenca 1980 fernando zobel gave juan march foundation collection paintings sculptures drawings works tributary tributaries,55,2,1.0
Salaisons,"The SALAISONS are born of a growing need for space, possibilities and collective energy.In 2007 it was opened up for a first year.Cooperation with artists, critics and musicians took place in a spirit of openness and freedom, and in the hope of creating new opportunities to travel.The rooms were open to proposals, discussions, presentations, and entertainment.The space worked by affinities, discovery and pleasure.Collaboration with artists, critics and musicians were done in a spirit of openness and freedom.",ART_ORG born growing need space possibilities collective energy 2007 opened cooperation artists critics musicians took spirit openness freedom hope creating opportunities travel rooms proposals discussions presentations entertainment space worked affinities discovery pleasure collaboration artists critics musicians spirit openness freedom,39,0,0.09147455949781329
periscope,"Ever since periscope started operating, the project space turned out to be extremely versatile. Now we can say: When we start new projects this one of our propositions. We are very interested in continuously putting this Versatility to the test. periscope prefers to realize and helps visualing, projects which are distinctive,room-filling and -changing and are dealing with the special space situations we offer. periscope is an event-led off-space for young (visual) artists, which exists and operates since 2006 in the City of Salzburg. (Austria) Ever since then periscope continuously helps realising, presenting and promoting projects of young contemporary artists. It is an ambiton to work as a vital inclusive space. ∎ periscope stands for our intentions: we wanted to generate a stable platform for young artists, offer a place to present, discuss and develop projects. We wanted to cooperate and link with different people, organisations and social networks, bring together different people with similar interests. We wanted gain for young art and artist, as well as for periscope as an by artists organised space a place and support in the Salzburg art landscape. ∎ A periscope is an instrument for observation from a concealed position. periscope: the name seemed to fit: in under water concealed submarines they give a panorama view of the surface. periscope stands für a glimpse of another new sphere, stands for deliberatly seeking contact, and stands for readily connecting. Apart from periscope:project:space, which is the infrastructure we can offer, periscope also offers personal support by each member and friend for projects to be realised. ∎ periscope exists as non-profit organisation, with the legal structure of an registered association. The Initiative is carried by commited friends and interested Zeitgenossen on a voluntary basis. Founding members and Initiators are the three young artists: Stefan Heizinger Elisabeth Schmirl Bernhard Lochmann Karin Peyker (seit 2009) Laila Huber (seit 2011)",periscope started operating project space turned extremely versatile say start projects propositions interested continuously putting versatility test periscope prefers realize helps visualing projects distinctive room filling changing dealing special space situations offer periscope event led space young visual artists exists operates 2006 city salzburg austria periscope continuously helps realising presenting promoting projects young contemporary artists ambiton work vital inclusive space periscope stands intentions wanted generate stable platform young artists offer present discuss develop projects wanted cooperate link different people organisations social networks bring different people similar interests wanted gain young art artist periscope artists organised space support salzburg art landscape periscope instrument observation concealed position periscope fit water concealed submarines panorama view surface periscope stands für glimpse sphere stands deliberatly seeking contact stands readily connecting apart periscope project space infrastructure offer periscope personal support member friend projects realised periscope exists non profit organisation legal structure registered association initiative carried commited friends interested zeitgenossen voluntary basis founding members initiators young artists stefan heizinger elisabeth schmirl bernhard lochmann karin peyker seit 2009 laila huber seit 2011,174,65,1.0
L'impasse,"""Our goal is to invest live places to produce sense and shapes by organizing contemporary art exhibitions.The impasse, which is the name of our association, repeats the place's address and refers to the fragility of its situation. Also, our legitimacy is based on the fact that the place is missing, and on the idea that an empty place can and must open up a social or cultural activity. This space allows to expand the Paris art scene by making it visible the work of young artists who already constitute it by their activity and their reflection.The realization of the exhibitions follows two principles, the one of which is free of money, and that they are held free of charge, and their access to art is free of charge;",goal invest live places produce sense shapes organizing contemporary art exhibitions impasse association repeats address refers fragility situation legitimacy based fact missing idea social cultural activity space allows expand CITY art scene making visible work young artists constitute activity reflection realization exhibitions follows principles free money held free charge access art free charge,53,12,1.0
Association Art Today,"The Association of Art Today aims to present alternative and experimental forms of art, offering creations, work for their research and documentation, invest a multimedia laboratory in a housing program, implement educational programs to educate its activities to a wide audience.",association art today aims present alternative experimental forms art offering creations work research documentation invest multimedia laboratory housing program implement educational programs educate activities wide audience,26,0,0.17315096853281503
Néon,"Modern art diffusion: - to ensure production or participate in the movement of unique parts and projects, - to invite you to see these productions through the installation of exhibitions, - to communicate around artists' projects is to defend artists. The exhibition as a research and exploration tool, Neon has been proposing, since March 2000, an eclectic programming, which promotes the plurality of the debates that generate artists' projects for most emerging ones.The goal is to value the latest artistic production: - to create or develop links between the artist and the cultural professional network, - to ensure mediation between the artist's project and his audience. Neon is an association of law 1901 capable of receiving gifts, created in 1999 by Basile Bachès, Stéphane Cateland, Julie Rodriguez-Malti, Julie Seror and Mélanie Verdelet. The association has been developed with the active participation of Lorraine Ferrat for more than 3 years, with the regular or partial participation of Alexandre Joly, Olivier Manfred, Maxime Rizard, Jean Alain Core, Mattie Schmittel, Samuel Moncharmont, Emmanuelle Firmman, Martin Schmied, Carla Casal, Kalagan Delberghe, Olivia Nawort.Guillaume Goux, Eric Fousssssoul, Cécile Caed, Gregory Coude, Freder, Frederic Coude, Damien Beguet, Vanaguet, Juan Dubourget, Michele, Michel, Michel, Michele, Michele, Michele, Michele, Michele, Michele, and Charlie, Charlie, and Charlie, and Charliene, and David.",modern art diffusion ensure production participate movement unique parts projects invite productions installation exhibitions communicate artists projects defend artists exhibition research exploration tool neon proposing march 2000 eclectic programming promotes plurality debates generate artists projects emerging ones goal value latest artistic production create develop links artist cultural professional network ensure mediation artist project audience neon association law 1901 capable receiving gifts created 1999 basile bachès stéphane cateland julie rodriguez malti julie seror mélanie verdelet association developed active participation lorraine ferrat years regular partial participation alexandre joly olivier manfred maxime rizard jean alain core mattie schmittel samuel moncharmont emmanuelle firmman martin schmied carla casal kalagan delberghe olivia nawort guillaume goux eric fousssssoul cécile caed gregory coude freder frederic coude damien beguet vanaguet juan dubourget michele michel michel michele michele michele michele michele michele charlie charlie charlie charliene david,137,26,1.0
Autocenter,"Summer Academy The Autocenter Summer Academy ACSA is a program that links international experts in all fields of art with artists and students for a week of adventure, study and creation in Berlin. Participants have the opportunity to develop their artistic practice and theory by exchanging and interacting with their teachers, while moving into one of the world's most passionate urban art scenes. Publications2015 Re-Discovery 1 2 3 4 5 62014 Autocenter – Space for Contemporary Art Berlin2013 False Optimism 2012 Wonderkammer2011 Autocenter Benefit Auction2010 Without Ende, Netherlands It was founded in 2001 by the artists Maik Schierloh and Joep van Liefland in an auto body shop as a not-for-profit space for art beyond the hierarchies of the art market.",summer academy ART_ORG summer academy acsa program links international experts fields art artists students week adventure study creation CITY participants opportunity develop artistic practice theory exchanging interacting teachers moving world passionate urban art scenes publications2015 discovery 62014 ART_ORG space contemporary art berlin2013 false optimism 2012 wonderkammer2011 ART_ORG benefit auction2010 ende netherlands founded 2001 artists maik schierloh joep van liefland auto body shop profit space art hierarchies art market,68,0,1.0
Open Space,"Founded in September 1972, Open Space is a non-profit artist-run centre located in Victoria, British Columbia. For over forty years, Open Space has supported professional artists who utilize hybrid and experimental approaches to media, art, music, and performance. As an exhibition and performance centre, Open Space reflects the wide diversity of contemporary art practices in Victoria, across Canada, and beyond. Our commitment to contemporary artists is an inclusive situation, embracing work by artists of different disciplines, media, generations, cultures, and communities. Open Space supports experimental artistic practices in all contemporary artsdisciplines, acting as a laboratory for engaging art, artists, and audiences.",founded september 1972 space non profit artist centre victoria british columbia years space supported professional artists utilize hybrid experimental approaches media art music performance exhibition performance centre space reflects wide diversity contemporary art practices victoria canada commitment contemporary artists inclusive situation embracing work artists different disciplines media generations cultures communities space supports experimental artistic practices contemporary artsdisciplines acting laboratory engaging art artists audiences,63,0,1.0
Angle art contemporain,"English contemporary art, association of law 1901 for non-profit purposes, is located in Saint-Paul-Trois-Châteaus in Provençale Dream. We offer temporary exhibitions, often monographic, in collaboration with the IAC Villaurbane/Rhône Alpes. Each visitor receives an individual welcome that allows for an intimate relationship between work, artist and the public. A documentation is also available as well as catalogues edited by English contemporary art. Contemporary Art Space located in Saint-Paul-Trois-Châteaus in Provençale Drôme, England has since 1983 received temporary, individual or collective exhibitions. This association site is marked by a desire for experiences and experiences shared with the public in a programming context. England gives special attention to the dissemination and mediation of contemporary art through meetings, conferences, educational workshops, residences or other editorial projects. Danielle ORCier, an artist. She founded the association in 1983. She is co-chaired and responsible for art. Didier TALLAGRAND, a teacher at the Higher School of Art of the Agglomeration of Annecy He is co-chair of the association and is responsible for the coordination and follow-up of artists on point projects. Stéphanie LEHU, photographer She ensures coordination of exhibitions, pedagogical projects and residences conducted throughout the year. She is also in charge of mediating in the direction of different public. She is a multidisciplinary team, combining desires and skills, which is based on the design and culture of the works of the artists.",english contemporary art association law 1901 non profit purposes ART_ORG provençale dream offer temporary exhibitions monographic collaboration iac villaurbane rhône alpes visitor receives individual welcome allows intimate relationship work artist public documentation available catalogues edited english contemporary art contemporary art space ART_ORG provençale drôme england 1983 received temporary individual collective exhibitions association marked desire experiences experiences shared public programming context england gives special attention dissemination mediation contemporary art meetings conferences educational workshops residences editorial projects danielle orcier artist founded association 1983 chaired responsible art didier tallagrand teacher higher school art agglomeration annecy chair association responsible coordination follow artists projects stéphanie lehu photographer ensures coordination exhibitions pedagogical projects residences conducted charge mediating direction different public multidisciplinary combining desires skills based design culture works artists,123,56,1.0
EDEL EXTRA,"EDEL EXTRA, Association for the Promotion of Aesthetic Process. EDEL EXTRA is a non-profit association. The purpose of the association is to promote art and culture, create a platform for expression, create, facilitate intercultural communication, intergenerational communication.",ART_ORG association promotion aesthetic process ART_ORG non profit association purpose association promote art culture create platform expression create facilitate intercultural communication intergenerational communication,23,57,1.0
Para Site,"Throughout its history, Para Site's activities have included a range of different formats, among which a smaller parallel exhibition space, Para/Site Central, hosted by Hanart TZ Gallery in Central (1997-2008); P/S magazine (1997-2006), a bilingual publication which was Hong Kong's first visual arts magazine and a central platform for the development of art writing and of a discursive scene in the city; and the Curatorial Training Programme (2007-2010). Since 2012, Para Site has been running an International Art Residency Programme. Para Site is Hong Kong's leading contemporary art centre and one of the oldest and most active independent art institutions in Asia. It produces exhibitions, publications and discursive projects aimed at forging a critical understanding of local and international phenomena in art and society. Founded in early 1996 as an artist run space, Para Site was Hong Kong's first institution of contemporary art and a crucial self-organised structure within the city’s civil society, during the uncertain period preceding its handover to Mainland China. Throughout the years, Para Site has evolved into a professional contemporary art centre, engaged in a wide array of activities and collaborations with other art institutions, museums, biennials and academic structures in Hong Kong and the international landscape. After the first year in Kennedy Town, Para Site relocated to Po Yan Street in Sheung Wan (at no. 2 in the initial years and at no. 4 until 2014). Para Site moved to North Point/Quarry Bay in early 2015. The institution has been led by Tobias Berger (2005-2008), Alvaro Rodriguez Fominaya (2008-2011) and Cosmin Costinas (since 2011).",history ART_ORG activities included range different formats smaller parallel exhibition space ART_ORG central hosted hanart gallery central 1997 2008 magazine 1997 2006 bilingual publication hong kong visual arts magazine central platform development art writing discursive scene city curatorial training programme 2007 2010 2012 ART_ORG running international art residency programme ART_ORG hong kong leading contemporary art centre oldest active independent art institutions asia produces exhibitions publications discursive projects aimed forging critical understanding local international phenomena art society founded early 1996 artist space ART_ORG hong kong institution contemporary art crucial self organised structure city civil society uncertain period preceding handover mainland china years ART_ORG evolved professional contemporary art centre engaged wide array activities collaborations art institutions museums biennials academic structures hong kong international landscape kennedy town ART_ORG relocated yan street sheung wan initial years 2014 ART_ORG moved north quarry bay early 2015 institution led tobias berger 2005 2008 alvaro rodriguez fominaya 2008 2011 cosmin costinas 2011,154,0,0.040096638687121745
White Columns,"White Columns presents an ongoing program of exhibitions, projects, talks, screenings, and events. It is a not-for-profit gallery which is open to the public, free-of-charge. White Columns is New York's oldest alternative art space. It was founded in 1970 by Jeffrey Lew and Gordon Matta-Clark as an experimental platform for artists. Originally located in SoHo (and known as the 112 Workshop/112 Greene Street), the organization was renamed White Columns when it moved to Spring Street in 1979. In 1991 White Columns moved to Christopher Street in the West Village, and in 1998 the gallery relocated to its present address on the border of the West Village and Meat Packing District. Over the past forty-three years, hundreds of artists have benefited from early exposure and support at White Columns, including: Gordon Matta-Clark, Jene Highstein, Barry Le Va, Alice Aycock, Richard Nonas, Jackie Windsor, Willoughby Sharp, Susan Rothenberg, Kiki Smith, Harmony Hammond, William Wegman, Peter Fend, Sonic Youth, Barbara Ess, John Miller, David Robbins, Jack Goldstein, John Stezaker, David Wojnarowicz, Michael Smith, Douglas Blau, Ashley Bickerton, Group Material, Felix Gonzalez-Torres, Andres Serrano, Fred Wilson, Sturtevant, Cady Noland, ACT-UP, Lorna Simpson, John Currin, Sean Landers, Verne Dawson, Marlene McCarty, Lutz Bacher, Tom Burr, Jim Hodges, Glenn Ligon, Jack Pierson, Kathe Burkhart, Richard Phillips, Sarah Sze, and Aida Ruilova, amongst many others. Since 2005, we have presented the work of more than 500 artists - of all generations - in more than 100 individual exhibitions and projects, including: Michele O’Marah, Carter, Aurie Ramirez, Simon Martin, Judy Linn, Jack Jaeger, Eileen Quinlan, Elena Pankova, Robin Graubard, Frank Majore, Dodie Bellamy, Kevin Killian, Colter Jacobsen, John Stezaker, William Scott, Mitzi Pederson, Luke Fowler, Paul Butler, Steven Claydon, Sarah Anne Lobb, Simon Bedwell, Donald Urquhart, Graham Durward, and Lars Laumann, amongst many others. StaffMatthew Higgs Director/Chief CuratorErin Somerville Deputy Director/CuratorSean Keenan Curatorial Associate/ArchivistCortney Andrews Financial Coordinator Kerri Ammirata Gallery AssociateBoard of DirectorsGregory Miller President, Stephen Abramson, Polly Apfelbaum, Carmine Boccuzzi, Gavin Brown, Eileen Cohen, Gregory Crewdson, Eric Diefenbach, Carol Dorsky, Martin Eisenberg, Yvonne Force Villareal, Jeanne Greenberg Rohatyn, Monica Halpert, Nathan Kacew, Marilyn Minter, Frank Moore, Corrie Sandelman, Pam Sanders, Lorna Simpson, Randy Slifka, Kevin YaoHonorary BoardBill ArningPaul Ha Cady NolandLauren RossAndres SerranoLisa Yuskavag",ART_ORG presents ongoing program exhibitions projects talks screenings events profit gallery public free charge ART_ORG york oldest alternative art space founded 1970 jeffrey lew gordon matta clark experimental platform artists originally soho known workshop greene street organization renamed ART_ORG moved spring street 1979 1991 ART_ORG moved christopher street west 1998 gallery relocated present address border west meat packing district past years hundreds artists benefited early exposure support ART_ORG including gordon matta clark jene highstein barry alice aycock richard nonas jackie windsor willoughby sharp susan rothenberg kiki smith harmony hammond william wegman peter fend sonic youth barbara ess john miller david robbins jack goldstein john stezaker david wojnarowicz michael smith douglas blau ashley bickerton group material felix gonzalez torres andres serrano fred wilson sturtevant cady noland act lorna simpson john currin sean landers verne dawson marlene mccarty lutz bacher tom burr jim hodges glenn ligon jack pierson kathe burkhart richard phillips sarah sze aida ruilova 2005 presented work artists generations individual exhibitions projects including michele marah carter aurie ramirez simon martin judy linn jack jaeger eileen quinlan elena pankova robin graubard frank majore dodie bellamy kevin killian colter jacobsen john stezaker william scott mitzi pederson luke fowler paul butler steven claydon sarah anne lobb simon bedwell donald urquhart graham durward lars laumann staffmatthew higgs director chief curatorerin somerville deputy director curatorsean keenan curatorial associate archivistcortney andrews financial coordinator kerri ammirata gallery associateboard directorsgregory miller president stephen abramson polly apfelbaum carmine boccuzzi gavin brown eileen cohen gregory crewdson eric diefenbach carol dorsky martin eisenberg yvonne force villareal jeanne greenberg rohatyn monica halpert nathan kacew marilyn minter frank moore corrie sandelman pam sanders lorna simpson randy slifka kevin yaohonorary boardbill arningpaul cady nolandlauren rossandres serranolisa yuskavag,283,0,1.0
Infozone,"The datazone project appears in the centre of Paris, as an open-ended joint study that aims to create, collect, select, read, retrieve and disseminate information and content. The articles are primarily social, political and cultural issues. In the information area, there is the possibility of commenting, interviewing, discussing and presenting different users. infozone is an environment and a file, a wall of espionage and a journal, represented locally by working space and in the world by the Internet. From this diversity can be the project, planned but still improvised as a laboratory, related to the old and new media, which is presented in a system of raw materials and raw materials.",ART_ORG project appears centre CITY ended joint study aims create collect select read retrieve disseminate information content articles primarily social political cultural issues information area possibility commenting interviewing discussing presenting different users infozone environment file wall espionage journal represented locally working space world internet diversity project planned improvised laboratory related media presented raw materials raw materials,56,4,0.018245011499166845
URGENT PARADISE,"until the end of 2013: The system is based on the principle of small ads. Make us reach your parts, creations and objects and we take care of them (not to contain any contrary to Swiss law). We take the free decision of the form which will take each of these exhibitions, as well as of the display. We let you take care to recover your creations after completion, otherwise they become our property. The exhibition is visible for five weeks and the process is renewed every two months. We do not take responsibility for your parts and their sales, but we may use it as an intermediary if necessary.",end 2013 based principle ads make reach parts creations objects care contain contrary swiss law free decision form exhibitions display let care recover creations completion property exhibition visible weeks process renewed months responsibility parts sales use intermediary necessary,38,12,1.0
XI box,"The XI box is seen on the day of 2015, of the will of young graduates.e. of the Beaux-Arts of Turcoing who decide to build together their own context of experimentation, exhibition and socialization when leaving school. Located in an old storage hangar of an area of 183 m2 in the heart of the Vauban district, the place takes its name from the eleven spaces of artists' workshops available for creation.The common area before the workshops welcomes different forms of exhibitions, performances, launchings and micro-residences of production.",box seen day 2015 young graduates beaux arts turcoing decide build context experimentation exhibition socialization leaving school storage hangar area heart vauban district takes spaces artists workshops available creation common area workshops welcomes different forms exhibitions performances launchings micro residences production,41,20,1.0
La générale en manufacture,"AFTER HOURS is a curative and artistic invitation structure, which offers short forms of residence, exhibitions or experiences dedicated to contemporary and emerging creation. The emphasis is placed on the form of our investment that is deployed in a place, through a project in action and time given. AFTER HOURS is a short-term and artistic invitation structure, which offers short forms of residence, exhibitions or experiences dedicated to contemporary and emerging creation. Following the Atelier Peter and Futur II, followed by Pierre Limpens and Barbara Siegel, followed by the General in manufacturing, in Sévres, AFTER HOURS means “the hours behind” in the sense of a union with these predecessors, such as a drafts of auster's, which is designed for the design of a new set of designs. We opened the ATELIER PIER between 2007 and 2012 in the inside of The General in Manufacture. Many hundreds of artists have come, known and unknown, using the media and the most diverse materials. It was very important, for these two spaces, that their guests are themselves artists and that their site was that of the General in Manufacture: the exhibition place was a wider set of art production. Nearly hundreds of artists met, at least their work, and space, were first seen for this faculty of exhibition and meeting.",ART_ORG curative artistic invitation structure short forms residence exhibitions experiences dedicated contemporary emerging creation emphasis placed form investment deployed project action given ART_ORG short term artistic invitation structure short forms residence exhibitions experiences dedicated contemporary emerging creation following atelier peter futur followed pierre limpens barbara siegel followed manufacturing sévres ART_ORG means sense union predecessors drafts auster designed design set designs opened atelier pier 2007 2012 inside manufacture hundreds artists come known unknown using media diverse materials important spaces guests artists manufacture exhibition wider set art production nearly hundreds artists met work space seen faculty exhibition meeting,96,-1,0.029332759531830777
Station Mir,"Since 1997, Station Mir has accompanied, produced and presented the work of many international artists who experience links between arts and technology by creations that combine sound, visual and digital arts and explore interactions with other disciplineal fields such as science, research, teaching and teaching...The artistic, aesthetic and critical project involves digital creation, the hybridization of forms, the invasiveness of the practices of the media, and the new forms of relations with the public affected by the Information and Communication Technologies.Station Mir contributes to the territorial attractiveness of the carnage of the carnage of the carnage.",1997 ART_ORG accompanied produced presented work international artists experience links arts technology creations combine sound visual digital arts explore interactions disciplineal fields science research teaching teaching artistic aesthetic critical project involves digital creation hybridization forms invasiveness practices media forms relations public affected information communication technologies ART_ORG contributes territorial attractiveness carnage carnage carnage,52,0,1.0
Zeta Gallery,"ZETA Center for Contemporary Art is a non-profit exhibition space founded in 2007 by Valentina Koça. With its 150 square-meter area on the second floor of a mixed residential and commercial building at Abdyl Frashëri Street in downtown Tirana, ZETA functions as an autonomous cultural venue for multidisciplinary approaches to visual arts, including painting, sculpture, photography, video, installation, sound, and performance. Over the last twelve years ZETA has contributed significantly to the vitality and dynamics of contemporary art scene in Albania starting with “Undisclosed Drawings” (2007), a solo show of unknown works by Edi Hila created between 1970 and 1989, through “The Title of an Oeuvre” (2008) – an overview of Communist era posters designed by the late Franc Ashiku – and “Unstoppable Rhythm” (2008), a show of abstract paintings by Ali Oseku (“an artist who never came to terms with socialist realism” and whose non-conformist public appearance led to his imprisonment during Enver Hoxha’s rule), to Lumturi Blloshmi’s satirical, defiant and daringly provocative series of works presented on the occasion of her solo project “It’s a Wonderful Life” (2009). In addition, ZETA has actively supported the development of new artistic practices by providing institutional support for the up-and-coming generation of artists from Albania and overseas. Besides exhibitions, ZETA also hosts educational programs, workshops and discursive events reflecting on the pressing socio-cultural issues of our times in relation to visual arts. While acting as a nexus of collaborative practices between artists and curators, critics, researchers and other art professionals, ZETA has developed partnerships with local, regional and international institutions such as: T.I.C.A – Tirana Institute of Contemporary Art; University of Arts Tirana; Municipal Art Gallery of Shkodra; and Residency Unlimited, New York. Through YVAA – The Young Visual Artists Awards Network, ZETA has served as a co-organizer of the Ardhje Award for contemporary visual artists from Albania up to 35 years of age. As of 2018, the Ardhje Award is organized and managed by ZETA. BOARDValentina Koça, Executive Director; Zef Paci, art historian & curator; Edi Hila, painter; Stefan Çapaliku, playwright; Sadik Spahia, sculptor; Matilda Odobashi, visual artist; Gjergj Pervazi, choreographer; Blerina Muça, painter; Ana Bytyci, staff member; Enkeleda Stefani, accountant.",ART_ORG center contemporary art non profit exhibition space founded 2007 valentina koça square meter area second floor mixed residential commercial building abdyl frashëri street downtown tirana ART_ORG functions autonomous cultural venue multidisciplinary approaches visual arts including painting sculpture photography video installation sound performance years ART_ORG contributed significantly vitality dynamics contemporary art scene albania starting undisclosed drawings 2007 solo unknown works edi hila created 1970 1989 title oeuvre 2008 overview communist era posters designed late franc ashiku unstoppable rhythm 2008 abstract paintings ali oseku artist came terms socialist realism non conformist public appearance led imprisonment enver hoxha rule lumturi blloshmi satirical defiant daringly provocative series works presented occasion solo project wonderful life 2009 addition ART_ORG actively supported development artistic practices providing institutional support coming generation artists albania overseas exhibitions ART_ORG hosts educational programs workshops discursive events reflecting pressing socio cultural issues times relation visual arts acting nexus collaborative practices artists curators critics researchers art professionals ART_ORG developed partnerships local regional international institutions tirana institute contemporary art university arts tirana municipal art gallery shkodra residency unlimited york yvaa young visual artists awards network ART_ORG served organizer ardhje award contemporary visual artists albania years age 2018 ardhje award organized managed ART_ORG boardvalentina koça executive director zef paci art historian curator edi hila painter stefan çapaliku playwright sadik spahia sculptor matilda odobashi visual artist gjergj pervazi choreographer blerina muça painter ana bytyci staff member enkeleda stefani accountant,233,3,1.0
GRIMMUSEUM,"WE ARE NOT A MUSEUM167 mm × 240 mm, 400 Seaten, 500 illustrations in black and white, EnglishWith the texts of Katerina Gregos, Jonathan Ahlm Brenander, Solvevj Helweg Ovesen, Toke Lykkeberg. Published by Grimmuseum and BOM BOA TANDE BOA BOA NOITE, designed by Andrea Nicole.ISBN 978-3-943514-12-4With the publication We are not a museum, we want to return to a detailed and multi-page documentation in Grimmuseum. The publication contains a lot of exhibitions, performances and installations involving more than 400 artists. Grimmuseum gUG is a non-profit artists-run institution that promotes visual art, performance art and sound art in the premises of the former Luise Grimm Museum in Kreuzberg, Berlin. Grimmuseum was founded in 2010 by artist Enrico Centonze with the goal to create an interdisciplinary platform for established as well as emerging Berlin-based artists and curators.",museum167 seaten illustrations black englishwith texts katerina gregos jonathan ahlm brenander solvevj helweg ovesen toke lykkeberg published grimmuseum bom boa tande boa boa noite designed andrea nicole isbn 943514 4with publication museum want return detailed multi page documentation grimmuseum publication contains lot exhibitions performances installations involving artists grimmuseum gug non profit artists institution promotes visual art performance art sound art premises luise grimm museum kreuzberg CITY grimmuseum founded 2010 artist enrico centonze goal create interdisciplinary platform established emerging CITY based artists curators,82,0,1.0
