nom,texte_combine
Artpool,"The roots of Artpool go back to the Chapel Exhibitions held in artist György Galántai's ""summer studio"", the Balatonboglár Chapel, from 1970 to 1973. By the time the police closed it down in August of that year, the Balatonboglár studio had established itself as the center of officially proscribed avant-garde art, and in retrospect, one of the cradles of cultural change in Hungary._x000D_ Six years later, in 1979, György Galántai and Júlia Klaniczay made another attempt to create an alternative art institute, one that would make room for the new trends in art. They established Artpool at a time when art forms out of keeping with the official cultural policy were denied access to the public. Periodically banned, but on the whole tolerated, Artpool organized manyexhibitions and art events, and published several anthologies and art catalogues between 1979 and 1990. From 1983 to 1985, they put out eleven ""illegal"" issues of ""Aktuális Levél"" (Artpool Letter), a ""samizdat"" art magazine which continues to serve as the sole documentary source on the non-official art of those years._x000D_ Artpool's aim was to provide contemporary Hungarian artists with information and potential contacts on the international art scene, as well as to publicize and document the activities of Hungarian artists out of favor with those who dictated the cultural policy of the time. Collecting what documents were extant on the alternative art of the `60s, `70s and `80s, Artpool set up an archivewhich, they hoped, would provide future generations with ammunition and inspiration when it came to moral stands and artistic struggles of their own._x000D_ In the ten years of its ""illegal"" existence, the archive accumulated several rarecollections of international significance._x000D_ Subsequent to the political changes of 1989, Artpool, which already had an international reputation, was officially recognized, and was open to the public._x000D_ The Artpool Art Research Center has been operating with funding from the Budapest Municipal Council since 1992. 1979: ARTPOOL'S PERIODIC SPACE (APS), Periodic Art Space (""what is periodic is constant"" /Galántai). Exhibitions, events, actions organised by Artpool at different locations. The series of events were inspired by Robert Filliou's postcard.(APS no.1)_x000D_ 1991 NEWKAPOLCS GALLERY, Kapolcs, 1991-1995, Artpool's independent summer art space, to recall the memory of the Balatonboglár Chapel Studio (closed by the authorities in 1973) in the Kapolcs house of György Galántai. From 1992 it served as the site for summer projects of the Budapest Artpool Art Research Center."
PLATEFORME,"Each month, Platform presents an exhibition of about two weeks following a more evental programming (performances, projections, etc.) which is mainly aimed at experimenting and research. The selection is aimed at demanding artistic practices. It offers projects of confirmed, national and international artists and those of the emerging scene. Festival Resurgentness - June, concerts / improvised music The platform is an independent, self-financed and self-financed structure. Space of diffusion, creation and resource for contemporary art, it works as a shared and federal space within which artists meet in the will of a synergy of the potentials, creativity and skills of each person to offer an alternative experience. Each month, it presents an exhibition of two weeks followed by a more random programming (performances, projections, etc.) that is essentially intended for experimenting and research. The selection is based on demanding artistic practices. It proposes nationally confirmed designs and international designs. 20th Artists"
GERTRUDE CONTEMPORARY,"Gertrude Contemporary presents approximately 20 exhibitions annually featuring work by Australian and international artists across three gallery spaces with a focus on new work, commissions and expanded practice. Running alongside our Exhibition Program is the Gertrude Contemporary Studio Program, which consists of sixteen non-residential studios, available to artists in the first fifteen years of their professional practice and provided for two-year tenures. Gertrude Contemporary also has a residential studio for visiting international artists, curators and writers for residencies of between two-weeks to three-months, as well as producing several international touring exhibitions per year. We also offer a world class Education Program, Volunteer and Internship Programs, Gertrude’s Table Patrons Program, annual Gertrude Editions as well as an active publishing program. Gertrude Contemporary is valued nationally and respected internationally as a dynamic centre for the production and presentation of contemporary art. With the artist placed firmly at the centre of our community, we foster a culture of risk, collaboration and critical-thinking to generate innovative programs that engage audiences in creative exchange. Gertrude Contemporary opened in 1985 in a large converted warehouse in Fitzroy, Melbourne and led the way as Australia’s first combined gallery and studio complex. Named initially after its address - 200 Gertrude Street - the organisation has since expanded, transforming from an address to an entity, and changing its name to Gertrude Contemporary in 2010. _x000D_ Since 1985 we have accumulated a vast alumni of past exhibiting and studio artists including some of Australia’s leading names in contemporary art. In fact every artist who has represented Australia at the Venice Biennial since 1999 has either held a studio or participated in an exhibition at Gertrude Contemporary. This select community of Australia’s most pivotal contemporary artists has expanded in recent years to include our increasing international presence, with leading artists and curators from all over the world exhibiting in our galleries and staying in our studios. As a key generator for ideas in Australia, and with the momentum of our history behind us, Gertrude Contemporary is now the oldest, continually running contemporary art centre in Australia."
Nürnberger Eck,Bedrooms at the Hotel Pension «Nürnberger Eck» in Berlin-Charlottenburg. Elegantly furnished with a furniture from the 1940s to the 1960s Exhibitions and exhibitions of works of artists and theologians.
Le générateur,"The generator is an intermediate, hybrid, interstitial space for life to be maintained and developed in this area if it is particularly around Paris called the peripheral. The generator, place of incubation (speed) and catalyse (very neutral), is an invitation to a journey without a fixed destination, without the default goal of expanding the universe's existence possibilities. Innovated in 2006, free and independent, The Generator is an area of 600 m2 located on the Paris list 13th. Deliberately open and minimal in its configuration, The Generator is dedicated to all contemporary expressions, especially performance and plastic arts. The Generator gives priority to the productions of atypical artistic formats (temporality, geography, content) and remains open to all forms of multidisciplinary experimentation. The Generator is a space managed by artists for which the fact of being an artist is a way of life, a way of not giving up on life, a way of looking for other strategies of existence, a way of producing meetings where each one remains a free and respectful subject of its subjectivity."
TCB,"TCB art inc. is a space run by artists based in Melbourne, Australia, dedicated to providing a space where young, emerging and established artists alike have the artistic freedom to explore, experiment and take risks within their practices. The gallery was established in 1998 by artists Blair Trethowan, Sharon Goodwin and Thomas Deverall, who identified a vital position for a non-commercial, non-profit space in Melbourne’s CBD that exposed the work of young and emerging artists to a wide and disparate audience. What has developed is a lo-fi, high-energy project with ambitious aims, offering support and assistance to young and emerging artists at a very “grass roots” level and facilitating ongoing dialogue between them and the broader art and non-art communities. During its 16 years of operation, TCB has supported and developed the careers of over 600 young and emerging artists from Australia and the Asia-Pacific Region, many of whom presented their first solo exhibition at the gallery._x000D_ In 2001 TCB moved from its original home in the Port Philip Arcade into Waratah Place off Chinatown. This space was shared with Uplands Gallery, and a unique relationship developed, which saw an artist run initiative working successfully along side a commercial gallery. This relationship has further consolidated TCB’s position within the community, enabling us to reach a much broader audience and gain invaluable experience in running the gallery. This model was further beneficial in giving many younger artists the opportunity to work and exhibit alongside more established and experienced artists, offering valuable experience and ensuring them a broader audience._x000D_ In August 2006, Uplands Gallery relocated to Prahran, leaving TCB with the opportunity to occupy and run the entire space at Waratah Place. The gallery more than doubled in physical size, allowing for the provision of more exhibition allotments as well as the opportunity to undertake larger scale and more ambitious projects to broaden the scope of the gallery. This growth and regained autonomy has allowed TCB to cement its place as one of Melbourne’s leading independent artist run spaces."
Duplex100m2,"Since July 2012 Duplex10m2 has a new address in the city centre of Sarajevo and becomes the Duplex100m2 gallery. The gallery is currently located on which Obala Kulina Bana, at number 22, is an austro-Hongro-style apartment and with view to the Miljakka River, which is now dedicated to contemporary art. The apartment is divided into two additional parts. The first part, the ""situation"", which preserves the local character, makes office office, holds meetings and discussions, and shows permanent rooms of works of artists that we defend. The second part of the apartment is dedicated to exhibitions at the exhibitions: the second part of the exhibitions at the exhibitions. Since 2004 Duplex100m2 has supported the artistic scene of Sarajevo, Bosnia-Herzegovine and the Balkans, hosted by many artists, allowing them to produce, exhibit and disseminate their works, design and receive exhibitions against local, regional and international scenes, develop the visibility of the art of Bosnia-Herzegovine abroad, especially in international art fairs, with respect to a large number of contemporary artists, artists, curators, heads of institutions, all different horizons, to create new projects and put into concretes."
Borgo Ensemble,BORGO AKTEURE + FREUNDE + Peter Anger + Atelier van Almergen + Mana Burger + Sonia Elizabeth Barrett + Aland Beck + Katrin Becker + Antonia Beer + Andres Bergmann + Reiner Bergmeier + Anne Bitzweil + Claja Brüumer + Klaus Büning + Mona Dauerer + Natalia de Denz-Quartt + Christian Andrèpe Cuní Rodríguez + Mr.
West Space,"West Space Projects are programmed to run alongside our application-based program and provide support to artist-initiated/ developed exhibitions, publications, sound releases, performances, international exchanges and forums._x000D_ These ambitious projects negotiate innovative approaches to cultural debate, production, presentation, collaboration and exchange. They extend across artforms and into non-arts areas. The West Space Projects Program enables West Space to actively generate, contribute to and support quality cultural development, alongside performing the more usual artist-run-space role of presenting an application-based exhibition program. West Space was established in 1993 in Footscray by Brett Jones and Sarah Stubbs and was, at the time, one of the few artist-run initiatives to present a critically engaged, multi-art form program accessible to practitioners through peer-assessed applications._x000D_ The organisation quickly grew in stature and reputation, moving premises in 2000 with the assistance of the City of Melbourne to a location in Anthony Street, between RMIT University and the Queen Victoria Market._x000D_ In 2011 West Space began an exciting new chapter, moving to our much larger and centrally located current site, at Level 1 of the City of Melbourne owned building City Village at 225 Bourke Street. This substantially greater size has enabled us to radically expand our artistic program, offering more opportunities for audiences to engage with innovative arts events in the heart of Melbourne._x000D_ West Space has developed a significant reputation amongst Australian and international arts organisations. This has been forged through a sustained belief in the importance of artist-run culture to practitioners, audiences and the art industry, and has manifested in a critically renowned exhibition program and a prolific range of self-generated projects and publications. Over the past 22 years West Space has exhibited over 2500 individual artists, produced 45 publications and a journal comprising 13 issues, and developed over 60 projects, including 10 international projects in Singapore, Milan, Vancouver, Toronto, Osaka, Seoul, Glasgow, Hong Kong, Oyama and Paris."
YARAT Contemporary Art Space,"Founded in 2011 by Aida Mahmudova, YARAT Contemporary Art Space is a non-commercial organisation dedicated to the promotion and nurturing of Contemporary art in Azerbaijan. Based in Baku, YARAT aims to create a platform, in the country and internationally, for established as well as emerging artists, implementing its aim through organising exhibitions, events and educational programs. Looking to the future, one of the key objectives of YARAT is to form dialogue, exchange and bridge the gap between different cultures as well as art institutions."
CONICAL,"Conical is an independent contemporary art space that supports the production and presentation of new work by local and international artists._x000D_ With an interest in spatial, temporal and conceptual movements in visual art, Conical’s focus is on site-related activities, particularly those that embrace transient and fragmented responses to place._x000D_ Emphasising a reciprocal exchange between artist and organization, Conical acts as an integral agent in the process of realizing exhibitions and projects._x000D_ An opportunity is provided for both independent and represented artists to test or consolidate their practice. The provision of time, space and dialogue encourages risk and criticality._x000D_ Over the past decade Conical has continued to evolve its operational model in response to the currencies of contemporary discourse. Director, Adrien Allen, shapes a flexible program of exhibitions and projects – both internally curated and application based. 2013_x000D_ In an increasingly crowded landscape providing a plethora of choices, Conical has built a particular set of conditions for artists to respond to._x000D_ Over the past eleven years of continual programming much documentary material has been amassed, including images, text and recorded conversations. Some appears on our website, some has yet to be archived. For many reasons, now feels like the right time to consolidate, reflect upon and develop this material, both as a document and as an instigator of new projects._x000D_ Beyond memorialising past activities the idea of a ‘living archive’ that further propels Conical’s self-reflexive agenda is of interest and has an exciting potential to manifest in a variety of forms, recasting the Conical project._x000D_ Conical announces that our current exhibition is the final for thetime being._x000D_ After supporting spatial, temporal and conceptual practices in Melbourne since 2001 Conical will no longer operate an annual program of exhibitions. However, the space will continue to be used for Conical projects, and at other times may be available for hire (all enquiries to info@conical.org.au)."
SEA Foundation,"The main objective of SEA Foundation is to connect with society and to anchor Art & Culture in a natural way. SEA Foundation is an independent not-for-profit organization._x000D_ Our strength is to develop, guide and realise an entire trajectory with a permanent result, with which we choose for long term cooperation and working in togetherness._x000D_ The combination of knowledge, abilities and experience translates itself in services such as:_x000D_ in Artists Practice - Coaching - Empowerment - Fundraising - Project management - Enterpreneurial skills_x000D_ Visual arts are central in all our activities. We awaken your imagination with our creative approach, vision and plans._x000D_ Our work is more than just developing new ideas, drafting plans or organising events. We supply concrete and practical advice on how to elaborate ideas and realise projects. We guide and support you in the whole process of bringing projects to a successful realisation._x000D_ Communicative, open and direct, we are trying to get through to people, to activate them with our enthusiasm and to show new perspectives from a different angle. Like this we accomplish a mind shift, create strong connections and initiate new forms for cooperation and growth._x000D_ We make undiscovered abilities available and open creative potential with the power of the three D’s: Dream, Dare and Do! And doing this we not only think but also share. In this way, old insights are replaced with new ones._x000D_ We initiate change and forge new connections. SEA Foundation is located in the heart of the “Veemarkt Kwartier” VMK, the area that plays a vital role in shaping new creative activity in Tilburg.SEA Foundation has its own exhibition space: Project Space Tilburg Gust van Dijk. _x000D_ SEA Foundation (SEA) is a private, non-profit, artist-run initiative that initiates and coordinates events, residencies and exhibitions. SEA provides on-going space for production, presentation and research.In all their activities the organization is fueled by visual arts. Transgressing the boundaries between cultures and disciplines, SEA Foundation always puts context and the idea before the medium. By working in different cultural contexts worldwide, the foundation generates discussion by exposing and intervening within, as well as being part of, cultural processesthat concentrate on current (emerging) social, political and ecological issues. SEA supports these processes in becoming more productive, visible and solid."
Le Hall,"The Hall is an association place for non-profit purposes that has a major vocation to disseminate to a wide audience the artistic projects of multiple forms, an overview of the current musical and artistic scene. The Hall allows young artists from ESADHAR to have their first personal exhibition. It also offers a programming with artists from different horizons to enhance the visibility of contemporary art in Rouen. The Hall was founded by the artists and the local recording studio of the premises and workshops whose space is the entrance hall. The current team of the Hall is composed of Kawtar Bekrentchir, artist, Simon Gervais, Elozercord, Albane Hupin, artist and Julie Toqcueville, artist."
PRÉFACE,"Art contemporain / Contemporary Art 1 In literature, the front is – with the peripheral elements of the work – an introduction and precision tool. Edited by a third, it provides an additional look, indicates guidance and provides details in order to enable the reader to create his own area of questions. 2 The front is both considered as an area of association for artists and the public and as a factory of interest ready to be raised and discussed through, and throughout, exhibition experiences. 3 Each exhibition is designed as an invitation to form and produce new items in an artistic work. Direction / Director : Gabrielle Besk, Naïs Calmtes, Rémi Dupeyrat Library / Bookstore : Theophile’s Papers Graphism and Identity / Design and Identity: VLF"
videochronique,
Bell Street Project Space,Bell street project space is the curatorial project of artists Alex Lawler and Marita Fraser. From 2006 - 2010 it was an artists run inniative housed in a shop front at 22 glockengasse in the second district of Vienna. From 2011 it exists as an independant mobile project based out of London.
Ateliê Coletivo 2E1,
Salaisons,"The main focus of salary programming is on weekends, the rest of the week being more dedicated to the work of artists and artists, in terms of space and resources available, and in order to help artists disseminate their work and experience without tax. Cooperation with artists, critics and musicians is done in a spirit of openness and freedom, and in the hope of creating meetings, offering new opportunities for circulation. Unaugurated in 2007 for a first year, it is a space that loses across and against everything. Salaries are open to proposals, discussions, returns in question. The space works by affinities, discoveries and pleasure."
Museo de Arte Abstracto Español,"The museum opened its doors in 1966, was the first contemporary art museum in Spain and was directed by Fernando Zobel with the help of Gustavo Turner and Gerardo Rueda, all abstract painters. The museum was also the first and best library of contemporary art during these years of the French dictatorship, so Cuenca (a small town of central Spain) became a small community of artists. The museum is located in the Colgados, a very unique medieval building that forms part of the ancient city of Cuenca. In 1980, Fernando Zobel gave to the Juan March Foundation its collection of paintings, sculptures, drawings and works with its tributary with its tributaries."
periscope,"Ever since periscope started operating, the project space turned out to be extremely versatile. Now we can say: When we start new projects this one of our propositions. We are very interested in continuously putting this Versatility to the test. periscope prefers to realize and helps visualing, projects which are distinctive,room-filling and -changing and are dealing with the special space situations we offer._x000D_ periscope is an event-led off-space for young (visual) artists, which exists and operates since 2006 in the City of Salzburg. (Austria) Ever since then periscope continuously helps realising, presenting and promoting projects of young contemporary artists. It is an ambiton to work as a vital inclusive space. _x000D_ ∎ periscope stands for our intentions: we wanted to generate a stable platform for young artists, offer a place to present, discuss and develop projects. We wanted to cooperate and link with different people, organisations and social networks, bring together different people with similar interests._x000D_ We wanted gain for young art and artist, as well as for periscope as an by artists organised space a place and support in the Salzburg art landscape._x000D_ ∎ A periscope is an instrument for observation from a concealed position._x000D_ periscope: the name seemed to fit: in under water concealed submarines they give a panorama view of the surface. periscope stands für a glimpse of another new sphere, stands for deliberatly seeking contact, and stands for readily connecting. _x000D_ Apart from periscope:project:space, which is the infrastructure we can offer, periscope also offers personal support by each member and friend for projects to be realised. _x000D_ ∎ periscope exists as non-profit organisation, with the legal structure of an registered association. The Initiative is carried by commited friends and interested Zeitgenossen on a voluntary basis. Founding members and Initiators are the three young artists:_x000D_ Stefan Heizinger _x000D_ Elisabeth Schmirl _x000D_ Bernhard Lochmann _x000D_ Karin Peyker (seit 2009)_x000D_ Laila Huber (seit 2011)"
L'impasse,"""Our goal is to invest live places to produce sense and shapes by organizing contemporary art exhibitions.The impasse, which is the name of our association, repeats the place's address and refers to the fragility of its situation. Also, our legitimacy is based on the fact that the place is missing, and on the idea that an empty place can and must open up a social or cultural activity. This space allows to expand the Paris art scene by making it visible the work of young artists who already constitute it by their activity and their reflection.The realization of the exhibitions follows two principles, the one of which is free of money, and that they are held free of charge, and their access to art is free of charge;"
l'Œil de Poisson,"The action of the Poisson ring refers to both the diffusion and the production of the current art. The centre prefers an art of research and exploration that encourages the decoupling of artistic practices and stimulates transfers or meetings between disciplines. It is to take account of the practices and problems that form the object of the current art and which redefinition it as nature, rather than support its definition. The mandate of the Poisson instrument is therefore to build its objectives through the implementation and production of different exhibitions, exchanges, events, and conferences. The Poison River has existed since 1985. It has been born motivated by the will of young artists to have production and dissemination facilities. During its foundation, the centre devoted itself only to photography. It has gradually expanded its dissemination activities and has worked actively to develop production facilities that are responsive to the diverse interests of its members. The Centre has thus extended its action to all visual arts as well as to the achievement of integrated or combined multidisciplinary events: dance, music, theatre, poetry._x000D_ Since 1995, the Poison Valley is a member of the Meduse cooperative and community of 10 communities."
Néon ,"The dissemination of contemporary art: - to ensure production or participate in the movement of unique parts and projects, - to invite you to see these productions through the installation of exhibitions, - to communicate around artists' projects is to defend artists. The exhibition as a research and exploration tool, Neon has been proposing, since March 2000, an eclectic programming, which promotes the diversity of discussions that generates artists' projects for most of the time. The goal is to value the latest artistic production: - to create or develop links between the artist and the cultural professional network, - to ensure mediation between the artist's project and his audience. Neon is an association of law 1901 capable of receiving gifts, created in 1999 by Basile Bachès, Stéphane Cateland, Julie Rodriguez-Malti, Julie Seror and Mélanie Verdelet. The association has been developed with the active participation of Lorraine Ferrat for more than 3 years, with the regular or partial participation of Alexandre Joly, Olivier Manfred, Maxime Rizard, Jean Alain Core, Mattie Schmittel, Samuel Moncharmont, Emmanuelle Firmman, Martin Schmied, Carla Casal, Kalagan Delberghe, Olivia Nawort.Guillaume Goux, Eric Fousssssoul, Cécile Caed, Gregory Coude, Freder, Frederic Coude, Damien Beguet, Vanaguet, Juan Dubourget, Michele, Michel, Michel, Michele, Michele, Michele, Michele, Michele, Michele, and Charlie, Charlie, and Charlie, and Charliene, and David."
Autocenter,It was founded in 2001 by the artists Maik Schierloh and Joep van Liefland in an auto body shop as a not-for-profit space for art beyond the hierarchies of the art market.
rum46,
Association Art Today,"The Association of Art Today aims to present alternative and experimental forms of art, offering creations, work for their research and documentation, invest a multimedia laboratory in a housing program, implement educational programs to educate its activities to a wide audience."
Open Space,"Founded in September 1972, Open Space is a non-profit artist-run centre located in Victoria, British Columbia. For over forty years, Open Space has supported professional artists who utilize hybrid and experimental approaches to media, art, music, and performance. As an exhibition and performance centre, Open Space reflects the wide diversity of contemporary art practices in Victoria, across Canada, and beyond. Our commitment to contemporary artists is an inclusive situation, embracing work by artists of different disciplines, media, generations, cultures, and communities._x000D_ _x000D_ Open Space supports experimental artistic practices in all contemporary artsdisciplines, acting as a laboratory for engaging art, artists, and audiences. _x000D_"
Angle art contemporain,"English contemporary art, association of law 1901 for non-profit purposes, is located in Saint-Paul-Trois-Châteaus in Provençale Dream. _x000D_ We offer temporary exhibitions, often monographic, in collaboration with IAC Villaurbanne/Rhône Alpes. _x000D_ Each visitor receives an individual welcome that allows for an intimate relationship between work, artist and the public. A documentation is also available as well as catalogues edited by English contemporary art. Contemporary Art Space located in Saint-Paul-Trois-Châteaus in Provençale Drôme, England has since 1983 received temporary, individual or collective exhibitions. This association site is marked by a desire for experiences and experiences shared with the public in a programming context. England gives special attention to the dissemination and mediation of contemporary art through meetings, conferences, educational workshops, residences or other editorial projects. Danielle ORCier, an artist. She founded the association in 1983. She is co-chaired and responsible for art. _x000D_ Didier TALLAGRAND, an artist, teacher at the Higher School of Art of the Agglomeration of Annecy _x000D_ He is co-chair of the association and is responsible for coordinating and monitoring artists on point projects. _x000D_ Stéphanie LEHU, photographer _x000D_ She ensures coordination of exhibitions, pedagogical projects and residences carried out throughout the year. She is also in charge of mediating in the direction of public diverse audiences."
Triangle,"Triangle France supports the implementation and dissemination of new artistic practices and is committed to establishing a dynamic relationship between artists, the local and international art scene. We are among our former residents: Simon Starling (1997), Virginia Barré (1998), Jim Lambie (1998), Pierre Malphettes (1998), Bruno Peinado (1998), Damien Maziere (2002), Lili Reynaud Dewar (2006), Clement Rodzielski (2007), Kara Uzelman (2009), Emmanuelle Lainé (2009), Tim Braden (2009), Dominique Hurt (2011). Since its creation in 1995, Triangle France has been one of the most innovative French associations in the field of visual arts through its support to career artists. Triangle France supports emerging artists and non-representative artists in France by working alongside them in the development, production and dissemination of projects that constitute a new stage of their work. Triangle France is a non-profit objective association (law 1901) dedicated to contemporary art. It is located at the centre of Marseille to Friche Belle de May, an old tobacco factory converted into a multidisciplinary artistic production centre since the early 1990s. Triangle France aims to promote the contemporary French and international art scene through a demanding and experimental programming of residences, exhibitions, performances, events, publication and production of new works."
Para Site,"Throughout its history, Para Site's activities have included a range of different formats, among which a smaller parallel exhibition space, Para/Site Central, hosted by Hanart TZ Gallery in Central (1997-2008); P/S magazine (1997-2006), a bilingual publication which was Hong Kong's first visual arts magazine and a central platform for the development of art writing and of a discursive scene in the city; and the Curatorial Training Programme (2007-2010). Since 2012, Para Site has been running an International Art Residency Programme. Para Site is Hong Kong's leading contemporary art centre and one of the oldest and most active independent art institutions in Asia. It produces exhibitions, publications and discursive projects aimed at forging a critical understanding of local and international phenomena in art and society. Founded in early 1996 as an artist run space, Para Site was Hong Kong's first institution of contemporary art and a crucial self-organised structure within the city’s civil society, during the uncertain period preceding its handover to Mainland China. Throughout the years, Para Site has evolved into a professional contemporary art centre, engaged in a wide array of activities and collaborations with other art institutions, museums, biennials and academic structures in Hong Kong and the international landscape. After the first year in Kennedy Town, Para Site relocated to Po Yan Street in Sheung Wan (at no. 2 in the initial years and at no. 4 until 2014). Para Site moved to North Point/Quarry Bay in early 2015. The institution has been led by Tobias Berger (2005-2008), Alvaro Rodriguez Fominaya (2008-2011) and Cosmin Costinas (since 2011)."
EDEL EXTRA,"EDEL EXTRA, Association for the Promotion of Aesthetic Process._x000D_EDEL EXTRA is a non-profit association. The purpose of the association is to promote art and culture, create a platform for expression, create, facilitate intercultural communication, intergenerational communication. _x000D_"
