texte,processed_text
"Takeawaygallery© was born in the late 2009 on a project of the Roman photographer Stefano Esposito and it is made up of two parallel lines of business.The first one is the gallery itself, seat of the Cultural Association located in Rome, via della Reginella, where there are permanently exposed more than 200 small-sized works of art made both by young emerging artists and successful ones.The second line, to be considered the main one, deals with the promotional activity planning young contemporary artists’ shows and exhibitions with a preference for sculpture and photography plus the organization of cultural events located in different sites thanks to various collaborations and partnerships.""Takeawaygallery well-known for its innovative formula, is based on an idea of art within everyone’s reach, founded on its choice to offer small-sized works of art at a reasonable price and with heterogenous expositive offers. It also owns the peculiarity of dynamic exhibitions planned outside the gallery as well, both in regular spaces and outside the usual route of Art”",takeawaygallery born late 2009 project roman photographer stefano esposito parallel lines business gallery seat cultural association rome della reginella permanently exposed sized works art young emerging artists successful ones second line considered main deals promotional activity planning young contemporary artists shows exhibitions preference sculpture photography plus organization cultural events different sites thanks various collaborations partnerships takeawaygallery known innovative formula based idea art reach founded choice offer sized works art reasonable price heterogenous expositive owns peculiarity dynamic exhibitions planned outside gallery regular spaces outside usual route art
"Théophile's Papers is an itinerant publishing platform that operates from Paris & Brussels.Founded in March 2011 by Théophile Calot — a Brussels based french graphic designer — Théophile's Papers distributes publications of independent publishers, fanzines, newspapers and magazines that specialise in art, photography, graphic design and illustration.Next to its permanent corners in Brussels and Paris, Théophile's Papers also creates so called Panorama shows or pop-up installations in various venues like apartments, libraries, art galleries or alternative art fairs.These events look up the border between a pop-up book store and an exhibition.Théophile's Papers also proposes a variety of services linked to publications : from graphic design to the display of books (specially made book furniture for galleries, events, shops or private persons) and publishing and curating project.",théophile papers itinerant publishing platform operates CITY brussels founded march 2011 théophile calot brussels based french graphic designer théophile papers distributes publications independent publishers fanzines newspapers magazines specialise art photography graphic design illustration permanent corners brussels CITY théophile papers creates called panorama shows pop installations various venues like apartments libraries art galleries alternative art fairs events look border pop book store exhibition théophile papers proposes variety services linked publications graphic design display books specially book furniture galleries events shops private persons publishing curating project
"Gallery 44 is centered on three programming areas: We offer affordable production facilities to over 400 artist members, including darkrooms and digital printing, ensuring that artists working across diverse media have an accessible space to experiment and develop their photo-based practices.Providing a similarly accessible gallery space, G44 presents dynamic exhibitions that reflect a range of contemporary issues and visual forms. As a mentor-focused institution, rather than a curator-focused one, we maintain a collaborative approach in which artists play a central and active role in shaping programming and supporting one another’s artistic development. G44 dedicates significant portions of our programming calendar each year to focusing on emerging artists. Longstanding programs, such as Proof and Cameralinks, provide a place for artists at the cusp of their own explorations into seeing to widen the dialogue around contemporary photography.An equally important part of our mandate is to provide production, exhibition, mentorship and scholarship opportunities to youth throughout the GTA. Gallery 44’s OUTREACH program, for example, offers photography workshops to youth from underserved communities. This unique program inspires youth to develop positive methods of sharing their stories and to initiate critical explorations into art-viewing and art-making. As one of the only artist-run centres in Canada providing ongoing, hands-on arts education to youth, our award-winning education programs encourage greater visual literacy, while fostering a new generation of artists. Gallery 44 Centre for Contemporary Photography is a charitable, non-profit, artist-run centre committed to supporting multi-faceted approaches to photography and lens-based media. Founded in 1979 to establish a supportive environment for the development of artistic practice, Gallery 44’s mandate is to provide a context for meaningful reflection and dialogue on contemporary photography. Gallery 44 is committed to programs that reflect the continuously changing definition of photography by presenting a wide range of practices that engage timely and critical explorations of the medium. Through exhibitions, public engagement, education programs and production facilities our objective is to explore the artistic, cultural, historic, social and political implications of the image in our ever-expanding visual world. Gallery 44 was founded in 1979 by a small group of artists in need of production facilities who joined together to share darkroom and studio space. Forming a collective was an important first step in making facilities affordable and in creating a supportive community of artists with common goals. In 1980, the collective began mounting exhibitions and in 1981 began offering photography workshops. Gallery 44 moved from its original location on Niagara Street to Bathurst Street in 1986, where both the production and exhibition facilities were expanded to serve a growing membership. Due to a severe lack of photographic education in elementary and secondary schools, Gallery 44 began its Education in the Schools program in 1987. In 1994, Gallery 44 moved to 401 Richmond St. W. to improve the centre's exhibition and production facilities and to widen its audience through a more centralized location. The main floor of our space currently includes the administrative office, main gallery and adjacent vitrines gallery that host our seven annual exhibitions and our Members’ Gallery, which exclusively showcases the work of our members. Gallery 44’s 2,673 square foot, accessible facilities are located in the basement of 401 and include darkrooms, a shooting studio, scanning lab, wide format digital printing, print finishing area, resource library, and the Production Gallery which highlights works produced in our facilities. Throughout its history Gallery 44 has prioritized equitable access by breaking down barriers to the arts for artists, audiences and youth. We do so by programming outside of the downtown core, collaborating with numerous community partners both within and outside of our sector, supporting artistic experimentation and risk-taking and providing accessible public programs and production support to emerging practitioners, diverse artists and young people from across the GTA. Gallery 44’s partners include: ImagineNATIVE, Images Festival, Scotiabank CONTACT Photography Festival, Toronto District School Board, OCAD University, Trinity Square Video, NIA Centre for the Arts, Tangled Art + Disability and many more. While Gallery 44 continues to develop and evolve we have remained committed to our history as an artist-run centre, which in part relates to fostering collaborative decision-making and the sharing of leadership roles. Retaining the spirit of an artist-run centre, members, Board and staff work together to develop and implement programs that highlight unique artistic practices, engage a wide audience and increase the access to and understanding of image-based practices. Gallery 44 supports over 400 artist members through affordable access to analogue and digital facilities and various professional development opportunities, including conceptual and technical workshops, portfolio reviews and mentorships. Gallery 44 continues to serve an important role in the larger arts community by supporting: · emerging artists through such annual programs as Proof, OUTREACH, Darkroom Club, CameraLinks and CameraReach · Canadian and international artists and curators through dynamic exhibitions and residencies · diverse audiences through public programs such as talks, tours, discussions, screenings, writing groups and performances · writers in every stage of their careers through our vital and prolific publishing program",gallery centered programming areas offer affordable production facilities artist members including darkrooms digital printing ensuring artists working diverse media accessible space experiment develop photo based practices providing similarly accessible gallery space g44 presents dynamic exhibitions reflect range contemporary issues visual forms mentor focused institution curator focused maintain collaborative approach artists play central active role shaping programming supporting artistic development g44 dedicates significant portions programming calendar focusing emerging artists longstanding programs proof cameralinks provide artists cusp explorations seeing widen dialogue contemporary photography equally important mandate provide production exhibition mentorship scholarship opportunities youth gta gallery outreach program example photography workshops youth underserved communities unique program inspires youth develop positive methods sharing stories initiate critical explorations art viewing art making artist centres canada providing ongoing hands arts education youth award winning education programs encourage greater visual literacy fostering generation artists gallery centre contemporary photography charitable non profit artist centre committed supporting multi faceted approaches photography lens based media founded 1979 establish supportive environment development artistic practice gallery mandate provide context meaningful reflection dialogue contemporary photography gallery committed programs reflect continuously changing definition photography presenting wide range practices engage timely critical explorations medium exhibitions public engagement education programs production facilities objective explore artistic cultural historic social political implications image expanding visual world gallery founded 1979 group artists need production facilities joined share darkroom studio space forming collective important step making facilities affordable creating supportive community artists common goals 1980 collective began mounting exhibitions 1981 began offering photography workshops gallery moved original location niagara street bathurst street 1986 production exhibition facilities expanded serve growing membership severe lack photographic education elementary secondary schools gallery began education schools program 1987 1994 gallery moved richmond improve centre exhibition production facilities widen audience centralized location main floor space currently includes administrative office main gallery adjacent vitrines gallery host seven annual exhibitions members gallery exclusively showcases work members gallery square foot accessible facilities basement include darkrooms shooting studio scanning lab wide format digital printing print finishing area resource library production gallery highlights works produced facilities history gallery prioritized equitable access breaking barriers arts artists audiences youth programming outside downtown core collaborating numerous community partners outside sector supporting artistic experimentation risk taking providing accessible public programs production support emerging practitioners diverse artists young people gta gallery partners include imaginenative images festival scotiabank contact photography festival toronto district school board ocad university trinity square video nia centre arts tangled art disability gallery continues develop evolve remained committed history artist centre relates fostering collaborative decision making sharing leadership roles retaining spirit artist centre members board staff work develop implement programs highlight unique artistic practices engage wide audience increase access understanding image based practices gallery supports artist members affordable access analogue digital facilities various professional development opportunities including conceptual technical workshops portfolio reviews mentorships gallery continues serve important role larger arts community supporting emerging artists annual programs proof outreach darkroom club cameralinks camerareach canadian international artists curators dynamic exhibitions residencies diverse audiences public programs talks tours discussions screenings writing groups performances writers stage careers vital prolific publishing program
"Research that proposes cross-disciplinary strategies to collect information, read or produce work or artistic experiment. IFP also opens up for research in disciplines other than the arts that can provide the contemporary arts with new insights, modes of thinking and/or research strategies. Residency proposals for China show a link with the local context without being limited to it.BLACK SESAMEBlack Sesame is IFP's projects space which opened in June 2014. Located in a converted boiler room of the IFP courtyard at Heizhima hutong 13, Black Sesame is an experimental space for exhibitions, performances, workshops and more. With its characteristic high ceiling, flexible lighting conditions and ideal exhibition layout, Black Sesame is a unique 'white cube' located in one of Beijing's best preserved courtyards. Apart from being closely linked to IFP's residency programme and the resident artists, Black Sesame also works as a meeting space between the local Beijing art scene and international community of artists. With a programme focussing on solo exhibitions mixing Chinese and international artists with overlapping themes or interests, we encourage hands-on experimentation and transformation of the space itself. Artists and exhibitions are linked together through a programme which includes artists talks and performances. Institute for Provocation (IFP) is a Beijing based independent art organization and project space founded in 2010. Combining the study of theory and artistic practice, IFP aims to combine cross-disciplinary knowledge and stimulate cultural exchange and production in a collective approach. IFP organizes and advocates various kinds of activities, including artist residency, research project, discussion, exhibition making, workshop, publication, etc. on the basis of considering the dynamics of the relationship of independent art space with the society. Through a wide network of artists, researchers and makers in China and beyond, IFP can provide intelligence to incoming residents and collaborators who themselves become part of the network. We reckon the interaction between practice of residence artists and IFP’s institutional practice are constantly in a relationship of mutual provocation, friction and cooperation.",research proposes cross disciplinary strategies collect information read produce work artistic experiment ifp opens research disciplines arts provide contemporary arts insights modes thinking research strategies residency proposals china link local context limited black sesameblack sesame ifp projects space opened june 2014 converted boiler room ifp courtyard heizhima hutong black sesame experimental space exhibitions performances workshops characteristic high ceiling flexible lighting conditions ideal exhibition layout black sesame unique cube beijing best preserved courtyards apart closely linked ifp residency programme resident artists black sesame works meeting space local beijing art scene international community artists programme focussing solo exhibitions mixing chinese international artists overlapping themes interests encourage hands experimentation transformation space artists exhibitions linked programme includes artists talks performances institute provocation ifp beijing based independent art organization project space founded 2010 combining study theory artistic practice ifp aims combine cross disciplinary knowledge stimulate cultural exchange production collective approach ifp organizes advocates various kinds activities including artist residency research project discussion exhibition making workshop publication basis considering dynamics relationship independent art space society wide network artists researchers makers china ifp provide intelligence incoming residents collaborators network reckon interaction practice residence artists ifp institutional practice constantly relationship mutual provocation friction cooperation
"Founded in 2003, Arnica Artist-Run Centre Society is a not-for-profit gallery that provides a supportive environment for emerging contemporary artists. Arnica received charitable status in 2008 and is part of a Canada-wide network of artist run centres.Arnica provides exhibition space for contemporary art that is dynamic, innovative and thoughtful. It also serves as a space for artists to research and develop new work and helps emerging artists in our city, adding to the cultural mix of Kamloops.",founded 2003 arnica artist centre society profit gallery provides supportive environment emerging contemporary artists arnica received charitable status 2008 canada wide network artist centres arnica provides exhibition space contemporary art dynamic innovative thoughtful serves space artists research develop work helps emerging artists city adding cultural mix kamloops
"Presse Papier is an artist-run centre dedicated to contemporary printmaking. Located in Trois-Rivières, near the St. Lawrence River, the studio offers professional artists a production context conducive to research, creation and dissemination. Recognized for its openness, professionalism and the quality of its members’ production, Presse Papier facilitates the development of major projects by artists from here and abroad.",presse papier artist centre dedicated contemporary trois rivières near lawrence river studio professional artists production context conducive research creation dissemination recognized openness professionalism quality members production presse papier facilitates development major projects artists abroad
"The In.plano, Association of Law 1901, is a research and production platform that has been commissioned to disseminate and value contemporary creation on a principle of mutual knowledge and equipment. Founded in 2017, the association has called for a rich and varied programming, in collaboration with Commissioners, critics, and invited artists (exhibitors, conferences, seminars, workshops, concerts, etc.)The collection is composed of 12 young artists in multidisciplinary practices, Alexis Chrun, Nikolay Georgiev, Tania Gheerbrant, Philemon Hervé, Sarah Nefisssa Belhadajalja, Lucie Planty, Caroline Rambault and Takamoud, Nastarium.",plano association law 1901 research production platform commissioned disseminate value contemporary creation principle mutual knowledge equipment founded 2017 association called rich varied programming collaboration commissioners critics invited artists exhibitors conferences seminars workshops concerts collection composed young artists multidisciplinary practices alexis chrun nikolay georgiev tania gheerbrant philemon hervé sarah nefisssa belhadajalja lucie planty caroline rambault takamoud nastarium
"The two projects were launched in 1991, with the cross-section of art and daily life. The public space as a home, as an open workshop. -Kunst-Raum-straße - This edition presents a part of the Berlinian art project, which started during the 1990s, and which brings together the projects dedicated to the street with its inhabitants. For example, these are 35 individual positions that are selected to be presented. The artists have the word: in addition to the illustrations of the installations, we can read the statements and concepts of the planning phase.",projects launched 1991 cross section art daily life public space home workshop kunst raum straße edition presents berlinian art project started 1990s brings projects dedicated street inhabitants example individual positions selected presented artists word addition illustrations installations read statements concepts planning phase
"Founded in 2013, is an artist-run-space dedicated to contemporary art and music. Sonnenstube, which literally means “sunny room”, is a term used in the German speaking area of Switzerland to describe the Canton Ticino.It represents a place to relax, peaceful and idyllic. Sonnenstube is the point of view of the passing tourist, of the “balabiott” of the first half of the 20th century, or of the various intellectuals, hippies, and northern artists who searched for their “elsewhere” in Ticino. Furthermore, a book and fanzine shop is regularly presented, where one can buy limited edition art magazines.",founded 2013 artist space dedicated contemporary art music sonnenstube literally means sunny room term used german speaking area switzerland canton ticino represents relax peaceful idyllic sonnenstube view passing tourist balabiott half 20th century various intellectuals hippies northern artists searched ticino furthermore book fanzine shop regularly presented buy limited edition art magazines
"Espacio P is a benchmark among alternative spaces that are self-organised by artists in Madrid. Launched and directed by the multimedia artist, Pedro Garhel (Tenerife, 1952-2005), it developed collaborative dynamics of research, training and production. It also implemented the use of shared resources and means of diffusion that remained practically unexplored at that time in Spain.Its hybrid structure was the result of opening up and merging different artistic concepts and fields as well as crossing over and beyond the traditional limits of the exhibition space, the stage and the laboratory for research and production. Its aim was to explore the edges between the visual, performance and sound arts, so that different practices and languages were linked, through the sharing of a single space with multiple functions. Moreover, its programme was inclusive and socially engaging: it was a place where artists created community and art was synonymous with life and with shared experiences and knowledge.Between 1981 and 1997, Espacio P organised all kinds of activities related to performance, photography, installations, visual poetry, postal art, film, video and experimental music, as well as electronic and virtual reality art, at a time when the majority of art galleries and museums were celebrating the resurgence of painting.The remarkable trajectory of the activities of Espacio P is related to several thematic hubs: do-it-yourself culture between fluxus and punk; action art and audiovisual language; the gender question; interventions in the public space; and the transition from the analog era to digital culture. Overall, it aimed to focus attention on artistic practices which were facing up to the challenges of the globalisation of culture, of production and of the markets. In addition, those practices tackled alternatives to the impact of media power by the construction of new spaces as well as individual and collective identities in a period of transition towards the post-industrial society. Space P is one of the pioneer initiatives of artistic self-management in Spain. Located in the center of Madrid between 1981 and 1997, he set up new training and production models, and introduced methods to manage resources and collaborations that have not been explored until then in this country. Space P was one of the first Spanish alternative spaces, active between 1981 and 1997. The “P” resulted in “performance” as well as “polival” as well as “political”. Throughout its trajectory it was also presented as “Performance Alternative Space”, “Polival Space”, “Art of Present”, “Center of Audiovisual Arts”. It was an independent experimenting initiative, a non-formal learning place of extracademic arts, production and exhibition, as well as a meeting place and exchange of experiences and knowledge, from participating practices. Located in an ancient monastery called Nuñez de la Arpaza, the Sancutas de la Gâteaus, the Gâteaus de la Gâtétas de las de las de lasação de lasátétés de las de lasaciación de lasás de lasionale de las de lasionale de las de lasionale de lasionale de las de las de las de lasación.",espacio benchmark alternative spaces self organised artists madrid launched directed multimedia artist pedro garhel tenerife 1952 2005 developed collaborative dynamics research training production implemented use shared resources means diffusion remained practically unexplored CITY hybrid structure result opening merging different artistic concepts fields crossing traditional limits exhibition space stage laboratory research production aim explore edges visual performance sound arts different practices languages linked sharing single space multiple functions programme inclusive socially engaging artists created community art synonymous life shared experiences knowledge 1981 1997 espacio organised kinds activities related performance photography installations visual poetry postal art film video experimental music electronic virtual reality art majority art galleries museums celebrating resurgence painting remarkable trajectory activities espacio related thematic hubs culture fluxus punk action art audiovisual language gender question interventions public space transition analog era digital culture overall aimed focus attention artistic practices facing challenges globalisation culture production markets addition practices tackled alternatives impact media power construction spaces individual collective identities period transition post industrial society space pioneer initiatives artistic self management CITY center madrid 1981 1997 set training production models introduced methods manage resources collaborations explored country space spanish alternative spaces active 1981 1997 resulted performance polival political trajectory presented performance alternative space polival space art present center audiovisual arts independent experimenting initiative non formal learning extracademic arts production exhibition meeting exchange experiences knowledge participating practices ancient monastery called nuñez arpaza sancutas gâteaus gâteaus gâtétas las las lasação lasátétés las lasaciación lasás lasionale las lasionale las lasionale lasionale las las las lasación
"VIDEO DRAMA is Amsterdam based artist's initiative, which makes exhibitions from place to place. It focuses on composing short term art exhibitions, events, happenings adapted to chosen theme and available space. VIDEO DRAMA enables artists to share their works with the audience and shed light on valuable works (mostly in the field of visual arts). VIDEO DRAMA is traveling art platform and it's concept is to move from place to place and represent artists working in the field of moving picture and beyond.",video drama amsterdam based artist initiative makes exhibitions focuses composing short term art exhibitions events happenings adapted chosen theme available space video drama enables artists share works audience shed light valuable works field visual arts video drama traveling art platform concept represent artists working field moving picture
