nom,texte,multi_topics,multi_topics_no_threshold
KINGS Artist Run,"Kings Artist Run is a non-for-profit gallery in Melbourne’s CBD Kings Artist Run provides a location for contemporary art practice, supporting distinctive experimental projects by artists at all stages of their careers. Kings ARI assists and promotes the development of solo exhibitions, group and thematic projects, along with a program of events that includes performance, film screenings, public gatherings and talks. Functioning as a collective of artists, writers, curators and academics, Kings Artist Run was formed to explore, interpret and participate in the mediation of new social and cultural meanings. In 2013 Kings Artist Run celebrated its 10th anniversary.",[1],"[1, 4]"
Quellkollektiv,"The Association Quellcollectiv emerges from the association of several residents in a building that connects cultural operators collectively through the metropolitan region of Nuremberg. The association operates the gallery ""Today:_"" and supports ""We buy the source"". Our members are creative and performers artists, designers, artists, architects, musicians, activists, authors, organizers, editors and others who create culture professionally or in their free time.",[0],"[2, 4, 6]"
identité remarquable,"A hole in the eye The ""Remarkable Identity"", which was first a double of real wine and ""virtual wine"", is now removed from its context, i.e. its object thought. For more than five years, this wine located in Orléans has been dedicated to artists and 54 exhibitions have occurred.In addition to different generations and from different horizons, these are exhibited artists who, apart from them, have contributed to making the Remarkable identity. Some of them are known, collected, or have been better known, while others are virtually invisible on the Internet.","[2, 3]",[]
Artpool,"The roots of Artpool go back to the Chapel Exhibitions held in artist György Galántai's ""summer studio"", the Balatonboglár Chapel, from 1970 to 1973. By the time the police closed it down in August of that year, the Balatonboglár studio had established itself as the center of officially proscribed avant-garde art, and in retrospect, one of the cradles of cultural change in Hungary. Six years later, in 1979, György Galántai and Júlia Klaniczay made another attempt to create an alternative art institute, one that would make room for the new trends in art. They established Artpool at a time when art forms out of keeping with the official cultural policy were denied access to the public. Periodically banned, but on the whole tolerated, Artpool organized manyexhibitions and art events, and published several anthologies and art catalogues between 1979 and 1990. From 1983 to 1985, they put out eleven ""illegal"" issues of ""Aktuális Levél"" (Artpool Letter), a ""samizdat"" art magazine which continues to serve as the sole documentary source on the non-official art of those years. Artpool's aim was to provide contemporary Hungarian artists with information and potential contacts on the international art scene, as well as to publicize and document the activities of Hungarian artists out of favor with those who dictated the cultural policy of the time. Collecting what documents were extant on the alternative art of the `60s, `70s and `80s, Artpool set up an archivewhich, they hoped, would provide future generations with ammunition and inspiration when it came to moral stands and artistic struggles of their own. In the ten years of its ""illegal"" existence, the archive accumulated several rarecollections of international significance. Subsequent to the political changes of 1989, Artpool, which already had an international reputation, was officially recognized, and was open to the public. The Artpool Art Research Center has been operating with funding from the Budapest Municipal Council since 1992. 1979: ARTPOOL'S PERIODIC SPACE (APS), Periodic Art Space (""what is periodic is constant"" /Galántai). Exhibitions, events, actions organised by Artpool at different locations. The series of events were inspired by Robert Filliou's postcard.(APS no.1) 1991 NEWKAPOLCS GALLERY, Kapolcs, 1991-1995, Artpool's independent summer art space, to recall the memory of the Balatonboglár Chapel Studio (closed by the authorities in 1973) in the Kapolcs house of György Galántai. From 1992 it served as the site for summer projects of the Budapest Artpool Art Research Center.",[],"[4, 5]"
Galerie RDV,"Created in 2007, by the plastic artist Jean-François Courtillat, the RDV is dedicated to contemporary creation, offering a space of discovery and exchange for artists and audiences. RDV follows the Ipso Facto Gallery, based on Nantes from 1997 to 2007 and an important place for creation and plastics. The Gallery welcomes in average seven annual exhibitions and organizes two or three out of its walls. They are all unique projects. The contemporary creation stands out for its plurality today: photography, painting, sculpture, video, performance.... And it is based on this richness that the design and design of RDV is designed to produce a new product.",[],"[0, 3]"
GERTRUDE CONTEMPORARY,"Gertrude Contemporary presents approximately 20 exhibitions annually featuring work by Australian and international artists across three gallery spaces with a focus on new work, commissions and expanded practice. Running alongside our Exhibition Program is the Gertrude Contemporary Studio Program, which consists of sixteen non-residential studios, available to artists in the first fifteen years of their professional practice and provided for two-year tenures. Gertrude Contemporary also has a residential studio for visiting international artists, curators and writers for residencies of between two-weeks to three-months, as well as producing several international touring exhibitions per year. We also offer a world class Education Program, Volunteer and Internship Programs, Gertrude’s Table Patrons Program, annual Gertrude Editions as well as an active publishing program. Gertrude Contemporary is valued nationally and respected internationally as a dynamic centre for the production and presentation of contemporary art. With the artist placed firmly at the centre of our community, we foster a culture of risk, collaboration and critical-thinking to generate innovative programs that engage audiences in creative exchange. Gertrude Contemporary opened in 1985 in a large converted warehouse in Fitzroy, Melbourne and led the way as Australia’s first combined gallery and studio complex. Named initially after its address - 200 Gertrude Street - the organisation has since expanded, transforming from an address to an entity, and changing its name to Gertrude Contemporary in 2010. Since 1985 we have accumulated a vast alumni of past exhibiting and studio artists including some of Australia’s leading names in contemporary art. In fact every artist who has represented Australia at the Venice Biennial since 1999 has either held a studio or participated in an exhibition at Gertrude Contemporary. This select community of Australia’s most pivotal contemporary artists has expanded in recent years to include our increasing international presence, with leading artists and curators from all over the world exhibiting in our galleries and staying in our studios. As a key generator for ideas in Australia, and with the momentum of our history behind us, Gertrude Contemporary is now the oldest, continually running contemporary art centre in Australia.",[1],"[1, 4, 5]"
Nürnberger Eck,Bedrooms at the Hotel Pension «Nürnberger Eck» in Berlin-Charlottenburg. Elegantly furnished with a furniture from the 1940s to the 1960s Exhibitions and exhibitions of works of artists and theologians.,[2],[]
Khiasma,"The Khiasma company was created in 2001 at the Lilas (near coast of Paris). Soon, the association was installed in an affected print. Firstly as a place of work, informal meetings. Then, in order to reflect together on how to make cultural situations with the inhabitants of the surrounding and far away in popular neighborhoods, schools, homes of workers, homes of retirements, centres of care throughout Paris. The Chassagnole street was the basis for going out and imagining forms of the cross of art and of social issues, of mental health, of demarcation, of demarcation of the wall, of the symmetricals of the church, of the church and of the church. In the event of an invitation to the contemporary art fair Art Brussels, a book on exhibitions organized in Khaisma from 2011 to 2016 has been edited. Click here to download it.",[2],"[2, 3]"
FRICHE.SPACE,"Friche (fri-ch')<0x200b> Friche (fri-ch') is an uncultivated, residual, abandoned space. Friche (fri-ch') is a living, wild, vital space. Friche (fri-ch') is a space irresolute between resignation and renewal. Friche (fri-ch') is an ecosystem. Friche (fri-ch') is a potential space. Friche (fri-ch') is a new collective consciousness. Friche (fri-ch') is a project space coordinated by Ana Horhat and Ovidiu Leuce that intercepts visions about art, city and landscape.","[0, 4]",[]
Le générateur,"The generator is an intermediate, hybrid, interstitial space for life to be maintained and developed in this area if it is particularly around Paris called the peripheral. The generator, place of incubation (speed) and catalyse (very neutral), is an invitation to a journey without a fixed destination, without the default goal of expanding the universe's existence possibilities. Innovated in 2006, free and independent, The Generator is an area of 600 m2 located on the Paris list 13th. Deliberately open and minimal in its configuration, The Generator is dedicated to all contemporary expressions, especially performance and plastic arts. The Generator gives priority to the productions of atypical artistic formats (temporality, geography, content) and remains open to all forms of multidisciplinary experimentation. The Generator is a space managed by artists for which the fact of being an artist is a way of life, a way of not giving up on life, a way of looking for other strategies of existence, a way of producing meetings where each one remains a free and respectful subject of its subjectivity.",[0],[2]
Duplex100m2,"Since July 2012 Duplex10m2 has a new address in the city centre of Sarajevo and becomes the Duplex100m2 gallery. The gallery is currently located on which Obala Kulina Bana, at number 22, is an austro-Hongro-style apartment and with view to the Miljakka River, which is now dedicated to contemporary art. The apartment is divided into two additional parts. The first part, the ""situation"", which preserves the local character, makes office office, holds meetings and discussions, and shows permanent rooms of works of artists that we defend. The second part of the apartment is dedicated to exhibitions at the exhibitions: the second part of the exhibitions at the exhibitions. Since 2004 Duplex100m2 supports the artistic scene of Sarajevo, Bosnia-Herzegovine and the Balkans, hosts many artists, allows them to produce, exhibit and distribute their works, and produces exhibitions against local, regional and international scenes, develops the visibility of the art of Bosnia-Herzegovine outside its borders, especially in international art fairs, with respect to a large number of actors of contemporary art, artists, curators, heads of institutions, all different horizons, to create new designs and designs in their individual designs.",[0],[5]
West Space,"West Space Projects are programmed to run alongside our application-based program and provide support to artist-initiated/ developed exhibitions, publications, sound releases, performances, international exchanges and forums. These ambitious projects negotiate innovative approaches to cultural debate, production, presentation, collaboration and exchange. They extend across artforms and into non-arts areas. The West Space Projects Program enables West Space to actively generate, contribute to and support quality cultural development, alongside performing the more usual artist-run-space role of presenting an application-based exhibition program. West Space was established in 1993 in Footscray by Brett Jones and Sarah Stubbs and was, at the time, one of the few artist-run initiatives to present a critically engaged, multi-art form program accessible to practitioners through peer-assessed applications. The organisation quickly grew in stature and reputation, moving premises in 2000 with the assistance of the City of Melbourne to a location in Anthony Street, between RMIT University and the Queen Victoria Market. In 2011 West Space began an exciting new chapter, moving to our much larger and centrally located current site, at Level 1 of the City of Melbourne owned building City Village at 225 Bourke Street. This substantially greater size has enabled us to radically expand our artistic program, offering more opportunities for audiences to engage with innovative arts events in the heart of Melbourne. West Space has developed a significant reputation amongst Australian and international arts organisations. This has been forged through a sustained belief in the importance of artist-run culture to practitioners, audiences and the art industry, and has manifested in a critically renowned exhibition program and a prolific range of self-generated projects and publications. Over the past 22 years West Space has exhibited over 2500 individual artists, produced 45 publications and a journal comprising 13 issues, and developed over 60 projects, including 10 international projects in Singapore, Milan, Vancouver, Toronto, Osaka, Seoul, Glasgow, Hong Kong, Oyama and Paris.",[1],"[1, 3, 5, 6]"
TCB,"TCB art inc. is a space run by artists based in Melbourne, Australia, dedicated to providing a space where young, emerging and established artists alike have the artistic freedom to explore, experiment and take risks within their practices. The gallery was established in 1998 by artists Blair Trethowan, Sharon Goodwin and Thomas Deverall, who identified a vital position for a non-commercial, non-profit space in Melbourne’s CBD that exposed the work of young and emerging artists to a wide and disparate audience. What has developed is a lo-fi, high-energy project with ambitious aims, offering support and assistance to young and emerging artists at a very “grass roots” level and facilitating ongoing dialogue between them and the broader art and non-art communities. During its 16 years of operation, TCB has supported and developed the careers of over 600 young and emerging artists from Australia and the Asia-Pacific Region, many of whom presented their first solo exhibition at the gallery. In 2001 TCB moved from its original home in the Port Philip Arcade into Waratah Place off Chinatown. This space was shared with Uplands Gallery, and a unique relationship developed, which saw an artist run initiative working successfully along side a commercial gallery. This relationship has further consolidated TCB’s position within the community, enabling us to reach a much broader audience and gain invaluable experience in running the gallery. This model was further beneficial in giving many younger artists the opportunity to work and exhibit alongside more established and experienced artists, offering valuable experience and ensuring them a broader audience. In August 2006, Uplands Gallery relocated to Prahran, leaving TCB with the opportunity to occupy and run the entire space at Waratah Place. The gallery more than doubled in physical size, allowing for the provision of more exhibition allotments as well as the opportunity to undertake larger scale and more ambitious projects to broaden the scope of the gallery. This growth and regained autonomy has allowed TCB to cement its place as one of Melbourne’s leading independent artist run spaces.2018 saw the gallery rent-hike outfrom Melbourne’s CBD and movenorth, finding a new home in Wilkinson Street, Brunswick. After over a year of searching for a suitable, wheelchair-accessible building, TCB was able to secure a site with two exhibition spaces and eight independently operating studios. Despite several location shifts and a continually evolving collective of committee members and volunteer sitters, TCB has remained dedicated to providing a platform and support for emerging artists and curators, whilst continuing to run independently.The gallery maintains environmentally sustainable practices throughout its operations and exists in part through the continuing support of its past members and supporters, who it would like to acknowledge and deeply thank.TCB Art Inc. acknowledges the people of the Kulin Nations as the Traditional Custodians of the land on which ths gallery sits and operates, we recognise their enduring connection to land, waters and community. We pay our respects to their Elders; past, present and emerging. We also acknowledge that sovereignty was never ceded.",[1],"[0, 1, 2, 5]"
Borgo Ensemble,"Since 10 years, Borgo Ensemble has made a current contribution to the cultural scene of Nuremberg. Today, we are a non-profit association that is generally useful as a cultural forum in the variety of possibilities available to us. For active members and sponsors, an experience in the realization of artistic ideas and presentations. The form of art is friendly in the personal exchange. The contributions and the joy of participants are the subject of a common effort. The situation in the new office of art (Holzschuchherstrae 8) offers the possibility of suitable articles, essays and articles. BORGO AKTEURE + FREUNDE (since 2009) Peter Angermann + Atelier van Almergen + Menni Bünner + Mona Duerder + Sonia Dauerd + Denis-Jazz-Quartt (Christine Becker) + Andres Becker + Antonia Bergmann + Reiner Bergman + Anne Bielswicz + Jan Brümner + Klaus Büller + Mona Dauerd + Denis-Jazz-Quartt (Christmas), Denis Cuní Becker + Mardríguez, Albert Derle +","[0, 2]","[2, 3]"
SEA Foundation,"The main objective of SEA Foundation is to connect with society and to anchor Art & Culture in a natural way. SEA Foundation is an independent not-for-profit organization. Our strength is to develop, guide and realise an entire trajectory with a permanent result, with which we choose for long term cooperation and working in togetherness. The combination of knowledge, abilities and experience translates itself in services such as: in Artists Practice - Coaching - Empowerment - Fundraising - Project management - Enterpreneurial skills Visual arts are central in all our activities. We awaken your imagination with our creative approach, vision and plans. Our work is more than just developing new ideas, drafting plans or organising events. We supply concrete and practical advice on how to elaborate ideas and realise projects. We guide and support you in the whole process of bringing projects to a successful realisation. Communicative, open and direct, we are trying to get through to people, to activate them with our enthusiasm and to show new perspectives from a different angle. Like this we accomplish a mind shift, create strong connections and initiate new forms for cooperation and growth. We make undiscovered abilities available and open creative potential with the power of the three D’s: Dream, Dare and Do! And doing this we not only think but also share. In this way, old insights are replaced with new ones. We initiate change and forge new connections. SEA Foundation is located in the heart of the “Veemarkt Kwartier” VMK, the area that plays a vital role in shaping new creative activity in Tilburg.SEA Foundation has its own exhibition space: Project Space Tilburg Gust van Dijk. SEA Foundation (SEA) is a private, non-profit, artist-run initiative that initiates and coordinates events, residencies and exhibitions. SEA provides on-going space for production, presentation and research.In all their activities the organization is fueled by visual arts. Transgressing the boundaries between cultures and disciplines, SEA Foundation always puts context and the idea before the medium. By working in different cultural contexts worldwide, the foundation generates discussion by exposing and intervening within, as well as being part of, cultural processesthat concentrate on current (emerging) social, political and ecological issues. SEA supports these processes in becoming more productive, visible and solid.",[0],"[0, 1, 3, 4]"
Le Pays où le ciel est toujours bleu,"The country where the sky is always blue, the PoCTB is a collection of artists, a label of creation and diffusion in the area of contemporary art. The label offers a programming in Orléans and outside the walls.The exhibition space located at the 5th Street of the Grands-Champs in Orléans is made up of a gallery of 100 m2 reserved for solo or collective exhibitions and a project space of 20m2.The monographs present artists and artists whose POCB has chosen to distribute and support the work on a longer term basis.The collections are given to independent Commissioners: structures working in the fields of visual arts or aquariums.","[2, 3]","[0, 1, 2, 3, 4]"
PRÉFACE,"Art contemporain / Contemporary Art 1 In literature, the front is – with the peripheral elements of the work – an introduction and precision tool. Edited by a third, it provides an additional look, indicates guidance and provides details in order to enable the reader to create his own area of questions. 2 The front is both considered as an area of association for artists and the public and as a factory of interest ready to be raised and discussed through, and throughout, exhibition experiences. 3 Each exhibition is designed as an invitation to form and produce new items in an artistic work. Direction / Director : Gabrielle Besk, Naïs Calmettes, Rémi Dupeyrat Librairie / Bookstore : Théophile’s Papers Graphisme et identitée / Design and identity : VLF",[3],[2]
Museo de Arte Abstracto Español,"The museum opened its doors in 1966, was the first contemporary art museum in Spain and was directed by Fernando Zobel with the help of Gustavo Turner and Gerardo Rueda, all abstract painters. The museum was also the first and best library of contemporary art during these years of the French dictatorship, so Cuenca (a small town of central Spain) became a small community of artists. The museum is located in the Colgados, a very unique medieval building that forms part of the ancient city of Cuenca. In 1980, Fernando Zobel gave to the Juan March Foundation its collection of paintings, sculptures, drawings and works with its tributary with its tributaries.",[4],"[2, 6]"
Salaisons,"The SALAISONS are born of a growing need for space, possibilities and collective energy.In 2007 it was opened up for a first year.Cooperation with artists, critics and musicians took place in a spirit of openness and freedom, and in the hope of creating new opportunities to travel.The rooms were open to proposals, discussions, presentations, and entertainment.The space worked by affinities, discovery and pleasure.Collaboration with artists, critics and musicians were done in a spirit of openness and freedom.",[0],[]
periscope,"Ever since periscope started operating, the project space turned out to be extremely versatile. Now we can say: When we start new projects this one of our propositions. We are very interested in continuously putting this Versatility to the test. periscope prefers to realize and helps visualing, projects which are distinctive,room-filling and -changing and are dealing with the special space situations we offer. periscope is an event-led off-space for young (visual) artists, which exists and operates since 2006 in the City of Salzburg. (Austria) Ever since then periscope continuously helps realising, presenting and promoting projects of young contemporary artists. It is an ambiton to work as a vital inclusive space. ∎ periscope stands for our intentions: we wanted to generate a stable platform for young artists, offer a place to present, discuss and develop projects. We wanted to cooperate and link with different people, organisations and social networks, bring together different people with similar interests. We wanted gain for young art and artist, as well as for periscope as an by artists organised space a place and support in the Salzburg art landscape. ∎ A periscope is an instrument for observation from a concealed position. periscope: the name seemed to fit: in under water concealed submarines they give a panorama view of the surface. periscope stands für a glimpse of another new sphere, stands for deliberatly seeking contact, and stands for readily connecting. Apart from periscope:project:space, which is the infrastructure we can offer, periscope also offers personal support by each member and friend for projects to be realised. ∎ periscope exists as non-profit organisation, with the legal structure of an registered association. The Initiative is carried by commited friends and interested Zeitgenossen on a voluntary basis. Founding members and Initiators are the three young artists: Stefan Heizinger Elisabeth Schmirl Bernhard Lochmann Karin Peyker (seit 2009) Laila Huber (seit 2011)",[0],[2]
L'impasse,"""Our goal is to invest live places to produce sense and shapes by organizing contemporary art exhibitions.The impasse, which is the name of our association, repeats the place's address and refers to the fragility of its situation. Also, our legitimacy is based on the fact that the place is missing, and on the idea that an empty place can and must open up a social or cultural activity. This space allows to expand the Paris art scene by making it visible the work of young artists who already constitute it by their activity and their reflection.The realization of the exhibitions follows two principles, the one of which is free of money, and that they are held free of charge, and their access to art is free of charge;","[3, 4]","[0, 2]"
Association Art Today,"The Association of Art Today aims to present alternative and experimental forms of art, offering creations, work for their research and documentation, invest a multimedia laboratory in a housing program, implement educational programs to educate its activities to a wide audience.","[3, 4]","[2, 4]"
Néon,"Modern art diffusion: - to ensure production or participate in the movement of unique parts and projects, - to invite you to see these productions through the installation of exhibitions, - to communicate around artists' projects is to defend artists. The exhibition as a research and exploration tool, Neon has been proposing, since March 2000, an eclectic programming, which promotes the plurality of the debates that generate artists' projects for most emerging ones.The goal is to value the latest artistic production: - to create or develop links between the artist and the cultural professional network, - to ensure mediation between the artist's project and his audience. Neon is an association of law 1901 capable of receiving gifts, created in 1999 by Basile Bachès, Stéphane Cateland, Julie Rodriguez-Malti, Julie Seror and Mélanie Verdelet. The association has been developed with the active participation of Lorraine Ferrat for more than 3 years, with the regular or partial participation of Alexandre Joly, Olivier Manfred, Maxime Rizard, Jean Alain Core, Mattie Schmittel, Samuel Moncharmont, Emmanuelle Firmman, Martin Schmied, Carla Casal, Kalagan Delberghe, Olivia Nawort.Guillaume Goux, Eric Fousssssoul, Cécile Caed, Gregory Coude, Freder, Frederic Coude, Damien Beguet, Vanaguet, Juan Dubourget, Michele, Michel, Michel, Michele, Michele, Michele, Michele, Michele, Michele, and Charlie, Charlie, and Charlie, and Charliene, and David.",[3],"[1, 2, 4]"
